"cashno","date","ccode","cname","amount","remarks"
"1275","2026-05-25","264","NOOR AUTO JHUDDO","46970",""
"1274","2026-05-25","171","MAMA JAMALI AUTO BADIN","50000",""
"1311","2026-05-26","237","J&B AUTO SHAH LATIF","15000",""
"1312","2026-05-26","239","AL-HAJ AUTO MANSERA COLONY","10000",""
"1314","2026-05-26","206","AKBER SUZUKI","38600",""
"1313","2026-05-26","238","IMRAN AUTO SHER PAO","4000",""
"1300","2026-05-26","101","A.R AUTOS BAGH-E-KORANGI","10000",""
"1301","2026-05-26","128","ZAIB AUTO WATER PUMP","20000",""
"1302","2026-05-26","233","SHAMIM AUTO KALA BOARD","3225",""
"1299","2026-05-26","71","HAMZA KHAN AUTOS ORANGI TOWN","20000",""
"1296","2026-05-26","129","B.S AUTO AZIZABAD","10000",""
"1297","2026-05-26","89","WAQAS TYRE TUBE ISLAM CHOWK","10000",""
"1298","2026-05-26","20","ALI AUTOS ISLAM CHOWK","6000",""
"1307","2026-05-26","292","AL-REHMAN AUTO MALIR","4000",""
"1308","2026-05-26","273","RIZWAN AUTO MALIR","5000",""
"1310","2026-05-26","251","KARACHI AUTO QUAIDABAD","15000",""
"1306","2026-05-26","298","IQBAL AUTO QAIDABAD","7000",""
"1303","2026-05-26","286","QUETTA AUTO BAKRA PIRI MALIR","5000",""
"1304","2026-05-26","220","SHAFI AUTO MEMON GOTH","15000",""
"1305","2026-05-26","219","I.S AUTO PEHALWAN GOTH","6500",""
"1329","2026-06-01","68","ARIF AUTOS LANDHI","10000",""
"1330","2026-06-01","101","A.R AUTOS BAGH-E-KORANGI","10000",""
"1331","2026-06-01","153","JUNAID AUTO SHAHFAISAL","20000",""
"1328","2026-06-01","57","RANA AUTOS LANDHI","15000",""
"1322","2026-06-01","192","SUBHAN AUTO GULSHAN 13D","3000",""
"1321","2026-06-01","142","MADINA AUTO AZIZABAD","5000",""
"1323","2026-06-01","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1315","2026-06-01","157","ASGHER AUTO UP","80000",""
"1324","2026-06-01","270","SARWAR AUTO PEOPELS CHOWRANGI","2000",""
"1317","2026-06-01","285","K.K AUTO RABIA CITY","10000",""
"1316","2026-06-01","221","WAJAHAT SUPPLIER MARKET","46000",""
"1318","2026-06-01","259","IMRAN AUTO PEHALWAN GOTH","4000",""
"1320","2026-06-01","266","MADNI AUTO PEHALWAN GOTH","5000",""
"1319","2026-06-01","267","HAFIZ AUTO PEHALWAN GOTH","4060",""
"1325","2026-06-01","246","NASIR AUTO PEOPELS CHORANGI","2000",""
"1327","2026-06-01","69","WAQAS AUTOS ISLAM CHOWK","14600",""
"1326","2026-06-01","271","SALEEM AUTO PEOPELS CHOWRANGI","2000",""
"1332","2026-06-02","139","IQBAL AUTO BALDIA","4500",""
"1339","2026-06-02","132","ADNAN AUTO FAST","40000",""
"1333","2026-06-02","112","RAJPUT AUTO SABRI CHOWK ORANGI","10000",""
"1337","2026-06-02","71","HAMZA KHAN AUTOS ORANGI TOWN","20000",""
"1338","2026-06-02","116","ASIF SUPPLIER ZIP 1","10000",""
"1336","2026-06-02","20","ALI AUTOS ISLAM CHOWK","20000",""
"1334","2026-06-02","162","M.S MURAD ORANGI","2000",""
"1335","2026-06-02","89","WAQAS TYRE TUBE ISLAM CHOWK","10200",""
"1343","2026-06-03","246","NASIR AUTO PEOPELS CHORANGI","2000",""
"1344","2026-06-03","217","BISMILLAH AUTO WATER PUMP","1000",""
"1342","2026-06-03","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1340","2026-06-03","254","WARSI AUTO NAZIMABAD","4000",""
"1341","2026-06-03","178","B.S ALIYAN AUTO WATER PUMP","3000",""
"1348","2026-06-03","159","WAQAS AUTO BUFFER ZONE","3000",""
"1349","2026-06-03","182","SHAMA AUTO ELECTRIC W/P","2000",""
"1347","2026-06-03","176","ANSARI AUTO DASTAGIR","2000",""
"1345","2026-06-03","271","SALEEM AUTO PEOPELS CHOWRANGI","2930",""
"1346","2026-06-03","192","SUBHAN AUTO GULSHAN 13D","3000",""
"1366","2026-06-04","82","JUNAID AUTO AGRA TAJ","19000",""
"1365","2026-06-04","129","B.S AUTO AZIZABAD","10000",""
"1367","2026-06-04","67","JAMEEL AUTOS LEE MARKET","22520",""
"1369","2026-06-04","242","KING AUTO BEHAR COLONY","5000",""
"1368","2026-06-04","77","MALIK AUTO LINES AREA","15000",""
"1356","2026-06-04","191","SHAFI AUTO GULSHAN IQBAL","5000",""
"1355","2026-06-04","137","KHAN SHAHRUKH AUTO KORANGI","10000",""
"1357","2026-06-04","270","SARWAR AUTO PEOPELS CHOWRANGI","2500",""
"1359","2026-06-04","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"1358","2026-06-04","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1351","2026-06-04","144","TAJ AUTO MEHRAN TOWN 2","400",""
"1350","2026-06-04","199","SUFI BILAL COLONY KORANGI","5000",""
"1352","2026-06-04","114","TAJ AUTO MEHRAN TOWN 1","4200",""
"1354","2026-06-04","181","MAKKA AUTO KORANGI 3 NUMBER","3100",""
"1353","2026-06-04","173","B.S AUTO FARZAN BAK KORANGI","5000",""
"1362","2026-06-04","227","HASNAIN AUTO KORANGI 51 A","5000",""
"1360","2026-06-04","217","BISMILLAH AUTO WATER PUMP","1000",""
"1363","2026-06-04","104","HAMZA AUTO MOSMIYAT","45000",""
"1361","2026-06-04","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1364","2026-06-04","141","ALI AUTO MEHMODABAD","10000",""
"1371","2026-06-05","189","UBAID AUTO GULLSHAN 13D","5000",""
"1372","2026-06-05","217","BISMILLAH AUTO WATER PUMP","1000",""
"1375","2026-06-05","178","B.S ALIYAN AUTO WATER PUMP","1600",""
"1370","2026-06-05","216","M/S AUTO 13D W/RIM","10000",""
"1378","2026-06-05","303","UNIQUE AUTO LANDHI W/RIM","20000",""
"1379","2026-06-05","109","BABU AUTO SINDHI HOTEL","10000",""
"1376","2026-06-05","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1377","2026-06-05","57","RANA AUTOS LANDHI","23000",""
"1374","2026-06-05","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1373","2026-06-05","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1380","2026-06-05","265","ARIF AUTO RAHIM YAR KHAN","22320",""
"1381","2026-06-06","51","NEW KAKAR AUTOS PIDC","10000",""
"1406","2026-06-08","164","STAR AUTO MAYMAR","7000",""
"1407","2026-06-08","107","NIZAM AUTO MAYMAR","5100",""
"1405","2026-06-08","279","HABIB AUTO MAYMAR","10000",""
"1403","2026-06-08","287","HAFEEZ AUTO GHAZI GOTH","5000",""
"1404","2026-06-08","280","MINHAJ AUTO MAYMAR","15200",""
"1408","2026-06-08","281","SUBHAN ALLAH AUTO SACHAL","4000",""
"1412","2026-06-08","253","IZZAT AGA AUTO RABIA CITY","5000",""
"1413","2026-06-08","220","SHAFI AUTO MEMON GOTH","22530",""
"1411","2026-06-08","291","FAISAL AUTO PEHAWAN GOTH","4000",""
"1409","2026-06-08","149","SHEIKH AUTO PEHALWAN GOTH","10000",""
"1410","2026-06-08","289","GHAZI AUTO PEHALWAN GOTH","5000",""
"1384","2026-06-08","210","SHAH JI AUTO PEOPELS CHOWK","2000",""
"1385","2026-06-08","217","BISMILLAH AUTO WATER PUMP","1000",""
"1383","2026-06-08","270","SARWAR AUTO PEOPELS CHOWRANGI","3500",""
"1382","2026-06-08","246","NASIR AUTO PEOPELS CHORANGI","4000",""
"1391","2026-06-08","159","WAQAS AUTO BUFFER ZONE","3000",""
"1389","2026-06-08","266","MADNI AUTO PEHALWAN GOTH","5000",""
"1390","2026-06-08","267","HAFIZ AUTO PEHALWAN GOTH","5000",""
"1388","2026-06-08","176","ANSARI AUTO DASTAGIR","2000",""
"1386","2026-06-08","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1387","2026-06-08","182","SHAMA AUTO ELECTRIC W/P","2000",""
"1392","2026-06-08","213","YOUSUF AUTO GULLSHAN 13D","3000",""
"1397","2026-06-08","79","REHMAN AUTO AJMEER NAGRI","7000",""
"1398","2026-06-08","36","HADIA K1 NORTH NAZIMABAD","15000",""
"1395","2026-06-08","222","M.A AUTO UP","50000",""
"1396","2026-06-08","111","HAMZA AUTO SURJANI","3000",""
"1401","2026-06-08","101","A.R AUTOS BAGH-E-KORANGI","17000",""
"1402","2026-06-08","52","NOOR AUTOS QUAIDABAD","12000",""
"1399","2026-06-08","68","ARIF AUTOS LANDHI","15000",""
"1400","2026-06-08","57","RANA AUTOS LANDHI","25000",""
"1394","2026-06-08","25","AZAN AUTO BADIN","120000",""
"1393","2026-06-08","265","ARIF AUTO RAHIM YAR KHAN","15000",""
"1446","2026-06-09","89","WAQAS TYRE TUBE ISLAM CHOWK","10000",""
"1447","2026-06-09","115","HONDA KARACHI PAKISTAN CHOWK","20000",""
"1445","2026-06-09","69","WAQAS AUTOS ISLAM CHOWK","30000",""
"1442","2026-06-09","112","RAJPUT AUTO SABRI CHOWK ORANGI","15000",""
"1441","2026-06-09","130","ALVI AUTO BALDIA 4 NUMBER","15000",""
"1444","2026-06-09","71","HAMZA KHAN AUTOS ORANGI TOWN","20000",""
"1443","2026-06-09","20","ALI AUTOS ISLAM CHOWK","20000",""
"1431","2026-06-09","254","WARSI AUTO NAZIMABAD","4000",""
"1419","2026-06-09","273","RIZWAN AUTO MALIR","5000",""
"1418","2026-06-09","231","STAR AUTO MALIR","20000",""
"1421","2026-06-09","232","UNIQUE TRADERS KALA BOARD","12900",""
"1420","2026-06-09","233","SHAMIM AUTO KALA BOARD","5000",""
"1415","2026-06-09","298","IQBAL AUTO QAIDABAD","6000",""
"1414","2026-06-09","158","PAKISTAN AUTO QUAIDABAD","8000",""
"1417","2026-06-09","308","SHAN AUTO MALIR","2000",""
"1416","2026-06-09","286","QUETTA AUTO BAKRA PIRI MALIR","9950",""
"1422","2026-06-09","292","AL-REHMAN AUTO MALIR","3000",""
"1428","2026-06-09","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1427","2026-06-09","132","ADNAN AUTO FAST","40000",""
"1430","2026-06-09","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1429","2026-06-09","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1424","2026-06-09","285","K.K AUTO RABIA CITY","10000",""
"1423","2026-06-09","274","A.M AUTO MALIR","5250",""
"1426","2026-06-09","192","SUBHAN AUTO GULSHAN 13D","5000",""
"1425","2026-06-09","142","MADINA AUTO AZIZABAD","5000",""
"1451","2026-06-10","260","ASAD AUTO MALIR","2000",""
"1452","2026-06-10","237","J&B AUTO SHAH LATIF","15000",""
"1448","2026-06-10","256","PARTS WALA AUTO LANDHI 6","5000",""
"1449","2026-06-10","282","SALEEM AUTO MAYMAR","500",""
"1450","2026-06-10","300","RAZA AUTO MALIR","11000",""
"1470","2026-06-11","161","SHAYAN AUTO U.P","5000",""
"1471","2026-06-11","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1472","2026-06-11","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"1467","2026-06-11","215","M/S AUTO GULLSHAN 13D","5000",""
"1468","2026-06-11","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1469","2026-06-11","207","B.S KORANGI 4 POOL","3000",""
"1473","2026-06-11","270","SARWAR AUTO PEOPELS CHOWRANGI","1000",""
"1477","2026-06-11","296","ARIF AUTO TALHAR","100000",""
"1478","2026-06-11","42","KHATAOMAL PANGRIO","175600",""
"1479","2026-06-11","73","HUSSAIN AUTO SHAH FAISAL","300000",""
"1474","2026-06-11","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1475","2026-06-11","217","BISMILLAH AUTO WATER PUMP","1000",""
"1476","2026-06-11","209","R-K AUTO MARKET","10000",""
"1457","2026-06-11","67","JAMEEL AUTOS LEE MARKET","20000",""
"1458","2026-06-11","77","MALIK AUTO LINES AREA","10000",""
"1459","2026-06-11","295","SIDDIQUE AUTO BILAL COLONY","5000",""
"1456","2026-06-11","242","KING AUTO BEHAR COLONY","5000",""
"1453","2026-06-11","104","HAMZA AUTO MOSMIYAT","43000",""
"1454","2026-06-11","98","ASLAM AUTOS MARIPUR","30000",""
"1455","2026-06-11","82","JUNAID AUTO AGRA TAJ","15000",""
"1464","2026-06-11","181","MAKKA AUTO KORANGI 3 NUMBER","5000",""
"1465","2026-06-11","227","HASNAIN AUTO KORANGI 51 A","5000",""
"1466","2026-06-11","137","KHAN SHAHRUKH AUTO KORANGI","5000",""
"1463","2026-06-11","173","B.S AUTO FARZAN BAK KORANGI","5000",""
"1460","2026-06-11","199","SUFI BILAL COLONY KORANGI","5000",""
"1461","2026-06-11","114","TAJ AUTO MEHRAN TOWN 1","5000",""
"1462","2026-06-11","144","TAJ AUTO MEHRAN TOWN 2","4000",""
"1485","2026-06-12","167","QADRI AUTO SHAH FAISAL","5000",""
"1486","2026-06-12","148","IRFAN AUTO SHAH FAISAL","10000",""
"1487","2026-06-12","138","ASIM BROTHERS MARKET","7400",""
"1484","2026-06-12","170","ABDUL HADI AUTO DRIG ROAD","5000",""
"1481","2026-06-12","57","RANA AUTOS LANDHI","20000",""
"1480","2026-06-12","68","ARIF AUTOS LANDHI","10000",""
"1483","2026-06-12","197","ALI MEHMODABAD WHEEL RIM","39200",""
"1482","2026-06-12","303","UNIQUE AUTO LANDHI W/RIM","20000",""
"1509","2026-06-13","217","BISMILLAH AUTO WATER PUMP","1000",""
"1506","2026-06-13","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"1510","2026-06-13","270","SARWAR AUTO PEOPELS CHOWRANGI","1000",""
"1508","2026-06-13","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1504","2026-06-13","142","MADINA AUTO AZIZABAD","5000",""
"1505","2026-06-13","246","NASIR AUTO PEOPELS CHORANGI","3000",""
"1507","2026-06-13","178","B.S ALIYAN AUTO WATER PUMP","4000",""
"1511","2026-06-13","176","ANSARI AUTO DASTAGIR","2000",""
"1526","2026-06-13","111","HAMZA AUTO SURJANI","3000",""
"1525","2026-06-13","185","R.R AUTO SURJANI","10000",""
"1524","2026-06-13","79","REHMAN AUTO AJMEER NAGRI","5000",""
"1527","2026-06-13","36","HADIA K1 NORTH NAZIMABAD","10000",""
"1512","2026-06-13","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1513","2026-06-13","192","SUBHAN AUTO GULSHAN 13D","2000",""
"1528","2026-06-13","68","ARIF AUTOS LANDHI","10000",""
"1492","2026-06-13","228","KHALIL AUTO RABIA CITY","5000",""
"1493","2026-06-13","253","IZZAT AGA AUTO RABIA CITY","5000",""
"1494","2026-06-13","251","KARACHI AUTO QUAIDABAD","10000",""
"1491","2026-06-13","149","SHEIKH AUTO PEHALWAN GOTH","10000",""
"1488","2026-06-13","278","SHOAIB AUTO SACHAL","20000",""
"1489","2026-06-13","281","SUBHAN ALLAH AUTO SACHAL","4000",""
"1490","2026-06-13","269","M/S AUTO SACHAL","3000",""
"1503","2026-06-13","211","ZAFAR AUTO SABZI MANDI","5000",""
"1529","2026-06-13","57","RANA AUTOS LANDHI","20000",""
"1502","2026-06-13","190","ASIF AUTO SABZI MANDI","3000",""
"1531","2026-06-13","153","JUNAID AUTO SHAHFAISAL","17400",""
"1530","2026-06-13","101","A.R AUTOS BAGH-E-KORANGI","13500",""
"1523","2026-06-15","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1522","2026-06-15","176","ANSARI AUTO DASTAGIR","1000",""
"1533","2026-06-15","157","ASGHER AUTO UP","44450",""
"1532","2026-06-15","265","ARIF AUTO RAHIM YAR KHAN","10000",""
"1534","2026-06-15","116","ASIF SUPPLIER ZIP 1","10000",""
"1521","2026-06-15","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1499","2026-06-15","229","IMRAN AUTO FAQEERA GOTH","20000",""
"1500","2026-06-15","238","IMRAN AUTO SHER PAO","5000",""
"1501","2026-06-15","298","IQBAL AUTO QAIDABAD","4000",""
"1498","2026-06-15","164","STAR AUTO MAYMAR","9000",""
"1495","2026-06-15","280","MINHAJ AUTO MAYMAR","15000",""
"1496","2026-06-15","279","HABIB AUTO MAYMAR","8000",""
"1497","2026-06-15","282","SALEEM AUTO MAYMAR","5000",""
"1518","2026-06-15","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1519","2026-06-15","270","SARWAR AUTO PEOPELS CHOWRANGI","1500",""
"1520","2026-06-15","217","BISMILLAH AUTO WATER PUMP","1000",""
"1517","2026-06-15","159","WAQAS AUTO BUFFER ZONE","3000",""
"1514","2026-06-15","285","K.K AUTO RABIA CITY","10000",""
"1515","2026-06-15","259","IMRAN AUTO PEHALWAN GOTH","5000",""
"1516","2026-06-15","267","HAFIZ AUTO PEHALWAN GOTH","2500",""
"1547","2026-06-16","233","SHAMIM AUTO KALA BOARD","3000",""
"1546","2026-06-16","273","RIZWAN AUTO MALIR","5000",""
"1544","2026-06-16","308","SHAN AUTO MALIR","2000",""
"1548","2026-06-16","158","PAKISTAN AUTO QUAIDABAD","8000",""
"1551","2026-06-16","132","ADNAN AUTO FAST","40000",""
"1550","2026-06-16","256","PARTS WALA AUTO LANDHI 6","8000",""
"1549","2026-06-16","245","IMRAN AUTO MALIR","5000",""
"1543","2026-06-16","260","ASAD AUTO MALIR","2000",""
"1537","2026-06-16","71","HAMZA KHAN AUTOS ORANGI TOWN","10000",""
"1538","2026-06-16","92","OSAMA ISLAM CHOWK","5000",""
"1535","2026-06-16","112","RAJPUT AUTO SABRI CHOWK ORANGI","10000",""
"1536","2026-06-16","194","HAMZA KHAN WHEEL RIM","20000",""
"1541","2026-06-16","263","AL-MADINA AUTO WATER PUMP","15000",""
"1542","2026-06-16","299","HASHTAG TRADERS LANDHI 6","9600",""
"1539","2026-06-16","89","WAQAS TYRE TUBE ISLAM CHOWK","10000",""
"1540","2026-06-16","32","DAWOOD SULTAN AUTOS ORANGI TOW","2900",""
"1562","2026-06-17","159","WAQAS AUTO BUFFER ZONE","2000",""
"1561","2026-06-17","176","ANSARI AUTO DASTAGIR","1000",""
"1560","2026-06-17","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1565","2026-06-17","244","SAHIBZADA AUTO 89 MKT","10000",""
"1564","2026-06-17","237","J&B AUTO SHAH LATIF","15000",""
"1563","2026-06-17","236","QUETTA AUTO SHAHLATIF","20000",""
"1559","2026-06-17","109","BABU AUTO SINDHI HOTEL","5000",""
"1554","2026-06-17","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"1553","2026-06-17","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1552","2026-06-17","96","GHAZI AUTOS GOLARCHI","50000",""
"1555","2026-06-17","217","BISMILLAH AUTO WATER PUMP","2000",""
"1558","2026-06-17","192","SUBHAN AUTO GULSHAN 13D","5500",""
"1557","2026-06-17","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1556","2026-06-17","182","SHAMA AUTO ELECTRIC W/P","2000",""
"1579","2026-06-18","215","M/S AUTO GULLSHAN 13D","8200",""
"1580","2026-06-18","181","MAKKA AUTO KORANGI 3 NUMBER","3000",""
"1577","2026-06-18","270","SARWAR AUTO PEOPELS CHOWRANGI","1500",""
"1578","2026-06-18","216","M/S AUTO 13D W/RIM","6800",""
"1581","2026-06-18","98","ASLAM AUTOS MARIPUR","20000",""
"1584","2026-06-18","77","MALIK AUTO LINES AREA","10000",""
"1585","2026-06-18","116","ASIF SUPPLIER ZIP 1","10000",""
"1582","2026-06-18","67","JAMEEL AUTOS LEE MARKET","20000",""
"1583","2026-06-18","223","ABID AUTO LUCKY STAR","5500",""
"1576","2026-06-18","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1569","2026-06-18","173","B.S AUTO FARZAN BAK KORANGI","4000",""
"1570","2026-06-18","207","B.S KORANGI 4 POOL","5000",""
"1568","2026-06-18","144","TAJ AUTO MEHRAN TOWN 2","400",""
"1566","2026-06-18","102","SALEEM MAMU","12280",""
"1567","2026-06-18","199","SUFI BILAL COLONY KORANGI","4000",""
"1574","2026-06-18","284","SAMI AUTO GULLSHAN 13D","5000",""
"1575","2026-06-18","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1573","2026-06-18","191","SHAFI AUTO GULSHAN IQBAL","7000",""
"1571","2026-06-18","227","HASNAIN AUTO KORANGI 51 A","4000",""
"1572","2026-06-18","137","KHAN SHAHRUKH AUTO KORANGI","5000",""
"1589","2026-06-19","167","QADRI AUTO SHAH FAISAL","5000",""
"1588","2026-06-19","148","IRFAN AUTO SHAH FAISAL","10000",""
"1586","2026-06-19","238","IMRAN AUTO SHER PAO","4000",""
"1587","2026-06-19","170","ABDUL HADI AUTO DRIG ROAD","10000",""
"1610","2026-06-20","270","SARWAR AUTO PEOPELS CHOWRANGI","1000",""
"1612","2026-06-20","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1611","2026-06-20","217","BISMILLAH AUTO WATER PUMP","1000",""
"1609","2026-06-20","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"1606","2026-06-20","192","SUBHAN AUTO GULSHAN 13D","2000",""
"1607","2026-06-20","307","SUBHAN AUTO 13D W/RIM","1000",""
"1608","2026-06-20","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1617","2026-06-20","81","TAYYABA AUTO SURJANI","5000",""
"1618","2026-06-20","222","M.A AUTO UP","30000",""
"1619","2026-06-20","69","WAQAS AUTOS ISLAM CHOWK","20000",""
"1616","2026-06-20","311","INSAF AUTO LIYARI 36","50000",""
"1613","2026-06-20","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1614","2026-06-20","79","REHMAN AUTO AJMEER NAGRI","5000",""
"1615","2026-06-20","321","NASEER AUTO LIYARI 36","20000",""
"1605","2026-06-20","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1624","2026-06-20","228","KHALIL AUTO RABIA CITY","5000",""
"1623","2026-06-20","289","GHAZI AUTO PEHALWAN GOTH","5000",""
"1622","2026-06-20","75","YASIR AUTOS SACHAL GOTH","15000",""
"1590","2026-06-20","221","WAJAHAT SUPPLIER MARKET","46000",""
"1591","2026-06-20","138","ASIM BROTHERS MARKET","5000",""
"1625","2026-06-20","253","IZZAT AGA AUTO RABIA CITY","7000",""
"1602","2026-06-20","190","ASIF AUTO SABZI MANDI","3000",""
"1603","2026-06-20","211","ZAFAR AUTO SABZI MANDI","4650",""
"1604","2026-06-20","180","ARSALAN AUTO 13D GULLSHAN","5000",""
"1621","2026-06-20","287","HAFEEZ AUTO GHAZI GOTH","11350",""
"1620","2026-06-20","68","ARIF AUTOS LANDHI","17000",""
"1601","2026-06-20","189","UBAID AUTO GULLSHAN 13D","5000",""
"1629","2026-06-22","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1630","2026-06-22","217","BISMILLAH AUTO WATER PUMP","1000",""
"1636","2026-06-22","282","SALEEM AUTO MAYMAR","12000",""
"1635","2026-06-22","164","STAR AUTO MAYMAR","10000",""
"1638","2026-06-22","158","PAKISTAN AUTO QUAIDABAD","8000",""
"1637","2026-06-22","298","IQBAL AUTO QAIDABAD","6000",""
"1632","2026-06-22","176","ANSARI AUTO DASTAGIR","1000",""
"1631","2026-06-22","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1634","2026-06-22","280","MINHAJ AUTO MAYMAR","10000",""
"1633","2026-06-22","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1628","2026-06-22","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1595","2026-06-22","53","NOORANI AUTOS BADIN","15950",""
"1596","2026-06-22","42","KHATAOMAL PANGRIO","100000",""
"1594","2026-06-22","186","MAMA ASHFAQ BADIN","45000",""
"1592","2026-06-22","209","R-K AUTO MARKET","7000",""
"1593","2026-06-22","25","AZAN AUTO BADIN","100000",""
"1597","2026-06-22","103","GHOUSIA AUTO JHUDDO","10000",""
"1626","2026-06-22","285","K.K AUTO RABIA CITY","8000",""
"1627","2026-06-22","259","IMRAN AUTO PEHALWAN GOTH","5000",""
"1600","2026-06-22","171","MAMA JAMALI AUTO BADIN","40000",""
"1598","2026-06-22","264","NOOR AUTO JHUDDO","50000",""
"1599","2026-06-22","150","M UMER BADIN","100000",""
"1681","2026-06-23","109","BABU AUTO SINDHI HOTEL","10000",""
"1682","2026-06-23","161","SHAYAN AUTO U.P","10000",""
"1656","2026-06-23","132","ADNAN AUTO FAST","40000",""
"1653","2026-06-23","286","QUETTA AUTO BAKRA PIRI MALIR","9000",""
"1654","2026-06-23","233","SHAMIM AUTO KALA BOARD","7019",""
"1655","2026-06-23","260","ASAD AUTO MALIR","2000",""
"1678","2026-06-23","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1679","2026-06-23","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1680","2026-06-23","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1677","2026-06-23","217","BISMILLAH AUTO WATER PUMP","2000",""
"1674","2026-06-23","254","WARSI AUTO NAZIMABAD","3000",""
"1675","2026-06-23","270","SARWAR AUTO PEOPELS CHOWRANGI","2000",""
"1676","2026-06-23","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1646","2026-06-23","36","HADIA K1 NORTH NAZIMABAD","10000",""
"1645","2026-06-23","69","WAQAS AUTOS ISLAM CHOWK","20000",""
"1639","2026-06-23","26","AZAN AUTOS JIMMY LANDHI","15000",""
"1647","2026-06-23","89","WAQAS TYRE TUBE ISLAM CHOWK","7000",""
"1644","2026-06-23","20","ALI AUTOS ISLAM CHOWK","20000",""
"1641","2026-06-23","174","FAROOQ AUTO SHAH FAISAL","3000",""
"1640","2026-06-23","101","A.R AUTOS BAGH-E-KORANGI","10000",""
"1643","2026-06-23","71","HAMZA KHAN AUTOS ORANGI TOWN","15000",""
"1642","2026-06-23","92","OSAMA ISLAM CHOWK","7000",""
"1651","2026-06-23","273","RIZWAN AUTO MALIR","5000",""
"1649","2026-06-23","231","STAR AUTO MALIR","10000",""
"1648","2026-06-23","205","WAQAS TYRE ORANGI W/RIM","3000",""
"1650","2026-06-23","229","IMRAN AUTO FAQEERA GOTH","10000",""
"1652","2026-06-23","149","SHEIKH AUTO PEHALWAN GOTH","20000",""
"1907","2026-06-24","237","J&B AUTO SHAH LATIF","10000",""
"1905","2026-06-24","256","PARTS WALA AUTO LANDHI 6","7000",""
"1906","2026-06-24","251","KARACHI AUTO QUAIDABAD","8200",""
"1904","2026-06-24","239","AL-HAJ AUTO MANSERA COLONY","5000",""
"1903","2026-06-24","236","QUETTA AUTO SHAHLATIF","20000",""
"1688","2026-06-27","215","M/S AUTO GULLSHAN 13D","10000",""
"1689","2026-06-27","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1687","2026-06-27","181","MAKKA AUTO KORANGI 3 NUMBER","3000",""
"1691","2026-06-27","284","SAMI AUTO GULLSHAN 13D","14710",""
"1690","2026-06-27","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1684","2026-06-27","114","TAJ AUTO MEHRAN TOWN 1","5000",""
"1683","2026-06-27","144","TAJ AUTO MEHRAN TOWN 2","5000",""
"1686","2026-06-27","295","SIDDIQUE AUTO BILAL COLONY","10000",""
"1685","2026-06-27","199","SUFI BILAL COLONY KORANGI","5000",""
"1662","2026-06-27","276","REHAN AUTO SHAH FAISAL","4119",""
"1661","2026-06-27","167","QADRI AUTO SHAH FAISAL","5000",""
"1664","2026-06-27","243","KAZIM AUTO BAG E KORANGI","25000",""
"1663","2026-06-27","148","IRFAN AUTO SHAH FAISAL","3437",""
"1658","2026-06-27","187","NASEER AUTO VINDER","32434",""
"1657","2026-06-27","51","NEW KAKAR AUTOS PIDC","5000",""
