"cashno","date","ccode","cname","amount","remarks"
"834","2026-04-23","77","MALIK AUTO LINES AREA","10000",""
"813","2026-04-23","137","KHAN SHAHRUKH AUTO KORANGI","10000",""
"822","2026-04-23","215","M/S AUTO GULLSHAN 13D","10000",""
"848","2026-04-24","161","SHAYAN AUTO U.P","3000",""
"847","2026-04-24","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"846","2026-04-24","176","ANSARI AUTO DASTAGIR","2000",""
"1309","2026-04-24","206","AKBER SUZUKI","50000",""
"855","2026-04-24","103","GHOUSIA AUTO JHUDDO","13560",""
"853","2026-04-24","161","SHAYAN AUTO U.P","2000",""
"841","2026-04-24","179","A.W AUTO WATER PUMP","1000",""
"840","2026-04-24","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"837","2026-04-24","99","FAISAL AUTOS KORANGI","7000",""
"845","2026-04-24","182","SHAMA AUTO ELECTRIC W/P","1000",""
"844","2026-04-24","177","FARHAN AUTO WATER PUMP","1000",""
"843","2026-04-24","175","JAPAN AUTO WATER PUMP","1000",""
"857","2026-04-25","186","MAMA ASHFAQ BADIN","20000",""
"1061","2026-04-27","27","B.S BAKHTAWAR GOTH","5000",""
"863","2026-04-27","179","A.W AUTO WATER PUMP","2000",""
"866","2026-04-27","182","SHAMA AUTO ELECTRIC W/P","2000",""
"907","2026-04-29","121","AL-KARAM AUTO MARKET","10000",""
"928","2026-04-30","67","JAMEEL AUTOS LEE MARKET","25000",""
"908","2026-04-30","215","M/S AUTO GULLSHAN 13D","10000",""
"926","2026-04-30","98","ASLAM AUTOS MARIPUR","20000",""
"1059","2026-05-02","27","B.S BAKHTAWAR GOTH","10000",""
"933","2026-05-02","154","HAFEEZ AUTO KHAN BELA","100000",""
"939","2026-05-02","232","UNIQUE TRADERS KALA BOARD","13150",""
"1002","2026-05-06","245","IMRAN AUTO MALIR","6000",""
"1031","2026-05-07","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1027","2026-05-07","182","SHAMA AUTO ELECTRIC W/P","2000",""
"1028","2026-05-07","246","NASIR AUTO PEOPELS CHORANGI","3000",""
"1030","2026-05-07","176","ANSARI AUTO DASTAGIR","2000",""
"1022","2026-05-07","208","DANISH AUTO KORANGI 51C","7705",""
"1049","2026-05-08","170","ABDUL HADI AUTO DRIG ROAD","5000",""
"1050","2026-05-08","148","IRFAN AUTO SHAH FAISAL","10000",""
"1047","2026-05-08","227","HASNAIN AUTO KORANGI 51 A","4000",""
"1048","2026-05-08","248","FAISAL AUTO AZEEM PURA","10000",""
"1053","2026-05-08","116","ASIF SUPPLIER ZIP 1","18500",""
"1054","2026-05-08","138","ASIM BROTHERS MARKET","5000",""
"1051","2026-05-08","167","QADRI AUTO SHAH FAISAL","5000",""
"1052","2026-05-08","79","REHMAN AUTO AJMEER NAGRI","5000",""
"1046","2026-05-08","271","SALEEM AUTO PEOPELS CHOWRANGI","1000",""
"1038","2026-05-08","215","M/S AUTO GULLSHAN 13D","7000",""
"1039","2026-05-08","189","UBAID AUTO GULLSHAN 13D","5000",""
"1037","2026-05-08","192","SUBHAN AUTO GULSHAN 13D","5000",""
"1033","2026-05-08","68","ARIF AUTOS LANDHI","20000",""
"1035","2026-05-08","174","FAROOQ AUTO SHAH FAISAL","5000",""
"1040","2026-05-08","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1044","2026-05-08","123","LUCKY AUTO WATER PUMP","2000",""
"1045","2026-05-08","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1043","2026-05-08","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1041","2026-05-08","217","BISMILLAH AUTO WATER PUMP","1000",""
"1042","2026-05-08","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1065","2026-05-09","253","IZZAT AGA AUTO RABIA CITY","5000",""
"1064","2026-05-09","228","KHALIL AUTO RABIA CITY","5000",""
"1062","2026-05-09","27","B.S BAKHTAWAR GOTH","8000",""
"1063","2026-05-09","149","SHEIKH AUTO PEHALWAN GOTH","10000",""
"1081","2026-05-11","246","NASIR AUTO PEOPELS CHORANGI","4000",""
"1082","2026-05-11","191","SHAFI AUTO GULSHAN IQBAL","7000",""
"1080","2026-05-11","270","SARWAR AUTO PEOPELS CHOWRANGI","1500",""
"1078","2026-05-11","182","SHAMA AUTO ELECTRIC W/P","2000",""
"1079","2026-05-11","210","SHAH JI AUTO PEOPELS CHOWK","1000",""
"1086","2026-05-11","271","SALEEM AUTO PEOPELS CHOWRANGI","2000",""
"1087","2026-05-11","104","HAMZA AUTO MOSMIYAT","43000",""
"1085","2026-05-11","142","MADINA AUTO AZIZABAD","5000",""
"1083","2026-05-11","176","ANSARI AUTO DASTAGIR","1000",""
"1084","2026-05-11","175","JAPAN AUTO WATER PUMP","1000",""
"1077","2026-05-11","217","BISMILLAH AUTO WATER PUMP","1000",""
"1069","2026-05-11","281","SUBHAN ALLAH AUTO SACHAL","5000",""
"1070","2026-05-11","158","PAKISTAN AUTO QUAIDABAD","10000",""
"1068","2026-05-11","269","M/S AUTO SACHAL","3000",""
"1066","2026-05-11","107","NIZAM AUTO MAYMAR","5000",""
"1067","2026-05-11","282","SALEEM AUTO MAYMAR","5000",""
"1071","2026-05-11","92","OSAMA ISLAM CHOWK","5000",""
"1075","2026-05-11","192","SUBHAN AUTO GULSHAN 13D","2000",""
"1076","2026-05-11","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1074","2026-05-11","190","ASIF AUTO SABZI MANDI","5000",""
"1072","2026-05-11","266","MADNI AUTO PEHALWAN GOTH","7000",""
"1073","2026-05-11","267","HAFIZ AUTO PEHALWAN GOTH","5000",""
"1100","2026-05-12","69","WAQAS AUTOS ISLAM CHOWK","10000",""
"1101","2026-05-12","36","HADIA K1 NORTH NAZIMABAD","10000",""
"1098","2026-05-12","71","HAMZA KHAN AUTOS ORANGI TOWN","10000",""
"1099","2026-05-12","20","ALI AUTOS ISLAM CHOWK","10000",""
"1102","2026-05-12","240","AKBER AUTO LIYARI 36","11000",""
"1105","2026-05-12","293","SIDDIQUE AUTO LANDHI","7900","jenretor reparing exp"
"1106","2026-05-12","102","SALEEM MAMU","44000",""
"1103","2026-05-12","154","HAFEEZ AUTO KHAN BELA","50000",""
"1104","2026-05-12","157","ASGHER AUTO UP","50000",""
"1091","2026-05-12","273","RIZWAN AUTO MALIR","5000",""
"1092","2026-05-12","233","SHAMIM AUTO KALA BOARD","4000",""
"1090","2026-05-12","279","HABIB AUTO MAYMAR","5000",""
"1088","2026-05-12","220","SHAFI AUTO MEMON GOTH","10000",""
"1089","2026-05-12","219","I.S AUTO PEHALWAN GOTH","10000",""
"1096","2026-05-12","101","A.R AUTOS BAGH-E-KORANGI","10000",""
"1097","2026-05-12","139","IQBAL AUTO BALDIA","8000",""
"1095","2026-05-12","68","ARIF AUTOS LANDHI","10000",""
"1093","2026-05-12","260","ASAD AUTO MALIR","2000",""
"1094","2026-05-12","256","PARTS WALA AUTO LANDHI 6","8000",""
"1118","2026-05-13","271","SALEEM AUTO PEOPELS CHOWRANGI","1000",""
"1117","2026-05-13","270","SARWAR AUTO PEOPELS CHOWRANGI","1500",""
"1116","2026-05-13","178","B.S ALIYAN AUTO WATER PUMP","3000",""
"1119","2026-05-13","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1122","2026-05-13","176","ANSARI AUTO DASTAGIR","1000",""
"1121","2026-05-13","246","NASIR AUTO PEOPELS CHORANGI","1500",""
"1120","2026-05-13","192","SUBHAN AUTO GULSHAN 13D","3000",""
"1115","2026-05-13","217","BISMILLAH AUTO WATER PUMP","1000",""
"1109","2026-05-13","116","ASIF SUPPLIER ZIP 1","15000",""
"1110","2026-05-13","231","STAR AUTO MALIR","25000",""
"1107","2026-05-13","25","AZAN AUTO BADIN","100000",""
"1108","2026-05-13","169","TAYYAB AUTO MEHMODABAD","10000",""
"1113","2026-05-13","268","HANAN AUTO NAZIMABAD","3000",""
"1114","2026-05-13","254","WARSI AUTO NAZIMABAD","3000",""
"1111","2026-05-13","168","B.S AUTO QUAIDABAD","24800",""
"1112","2026-05-13","244","SAHIBZADA AUTO 89 MKT","4000",""
"1139","2026-05-14","77","MALIK AUTO LINES AREA","5000",""
"1140","2026-05-14","128","ZAIB AUTO WATER PUMP","30000",""
"1141","2026-05-14","98","ASLAM AUTOS MARIPUR","35000",""
"1136","2026-05-14","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1137","2026-05-14","175","JAPAN AUTO WATER PUMP","1000",""
"1138","2026-05-14","57","RANA AUTOS LANDHI","15000",""
"1145","2026-05-14","265","ARIF AUTO RAHIM YAR KHAN","10000",""
"1146","2026-05-14","81","TAYYABA AUTO SURJANI","5000",""
"1147","2026-05-14","187","NASEER AUTO VINDER","27950",""
"1142","2026-05-14","67","JAMEEL AUTOS LEE MARKET","22000",""
"1143","2026-05-14","242","KING AUTO BEHAR COLONY","5000",""
"1144","2026-05-14","141","ALI AUTO MEHMODABAD","10000",""
"1126","2026-05-14","173","B.S AUTO FARZAN BAK KORANGI","3000",""
"1127","2026-05-14","181","MAKKA AUTO KORANGI 3 NUMBER","4000",""
"1128","2026-05-14","227","HASNAIN AUTO KORANGI 51 A","4000",""
"1123","2026-05-14","115","HONDA KARACHI PAKISTAN CHOWK","20000",""
"1124","2026-05-14","199","SUFI BILAL COLONY KORANGI","5000",""
"1125","2026-05-14","144","TAJ AUTO MEHRAN TOWN 2","5000",""
"1129","2026-05-14","137","KHAN SHAHRUKH AUTO KORANGI","5000",""
"1133","2026-05-14","180","ARSALAN AUTO 13D GULLSHAN","5000",""
"1134","2026-05-14","217","BISMILLAH AUTO WATER PUMP","1000",""
"1135","2026-05-14","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1130","2026-05-14","215","M/S AUTO GULLSHAN 13D","5000",""
"1131","2026-05-14","192","SUBHAN AUTO GULSHAN 13D","3000",""
"1132","2026-05-14","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1154","2026-05-15","167","QADRI AUTO SHAH FAISAL","5000",""
"1153","2026-05-15","148","IRFAN AUTO SHAH FAISAL","10000",""
"1156","2026-05-15","56","RAHIM BHAI CLASSIC MOTORCYCLE","50000",""
"1155","2026-05-15","138","ASIM BROTHERS MARKET","10000",""
"1149","2026-05-15","154","HAFEEZ AUTO KHAN BELA","24600",""
"1148","2026-05-15","51","NEW KAKAR AUTOS PIDC","10000",""
"1150","2026-05-15","238","IMRAN AUTO SHER PAO","4000",""
"1152","2026-05-15","276","REHAN AUTO SHAH FAISAL","10000",""
"1151","2026-05-15","170","ABDUL HADI AUTO DRIG ROAD","10000",""
"1936","2026-05-16","228","KHALIL AUTO RABIA CITY","5000",""
"1438","2026-05-17","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"1437","2026-05-17","175","JAPAN AUTO WATER PUMP","1000",""
"1440","2026-05-17","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1439","2026-05-17","217","BISMILLAH AUTO WATER PUMP","1000",""
"1433","2026-05-17","192","SUBHAN AUTO GULSHAN 13D","2000",""
"1432","2026-05-17","190","ASIF AUTO SABZI MANDI","4000",""
"1434","2026-05-17","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1436","2026-05-17","271","SALEEM AUTO PEOPELS CHOWRANGI","2000",""
"1435","2026-05-17","210","SHAH JI AUTO PEOPELS CHOWK","2000",""
"1182","2026-05-18","189","UBAID AUTO GULLSHAN 13D","5000",""
"1183","2026-05-18","129","B.S AUTO AZIZABAD","15000",""
"1181","2026-05-18","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1179","2026-05-18","178","B.S ALIYAN AUTO WATER PUMP","1500",""
"1180","2026-05-18","176","ANSARI AUTO DASTAGIR","2000",""
"1184","2026-05-18","128","ZAIB AUTO WATER PUMP","20000",""
"1188","2026-05-18","101","A.R AUTOS BAGH-E-KORANGI","10000",""
"1189","2026-05-18","132","ADNAN AUTO FAST","40000",""
"1187","2026-05-18","57","RANA AUTOS LANDHI","28000",""
"1185","2026-05-18","26","AZAN AUTOS JIMMY LANDHI","18600",""
"1186","2026-05-18","68","ARIF AUTOS LANDHI","20000",""
"1159","2026-05-18","247","RIZWAN AUTO AZEEM PURA","13150",""
"1160","2026-05-18","149","SHEIKH AUTO PEHALWAN GOTH","10000",""
"1158","2026-05-18","245","IMRAN AUTO MALIR","6000",""
"1167","2026-05-18","297","AWAMI AUTO FAQEERA GOTH","29400",""
"1157","2026-05-18","59","RIDER AUTO PARTS","70000",""
"1161","2026-05-18","281","SUBHAN ALLAH AUTO SACHAL","5000",""
"1165","2026-05-18","164","STAR AUTO MAYMAR","7250",""
"1166","2026-05-18","229","IMRAN AUTO FAQEERA GOTH","30300",""
"1164","2026-05-18","282","SALEEM AUTO MAYMAR","5000",""
"1162","2026-05-18","287","HAFEEZ AUTO GHAZI GOTH","5000",""
"1163","2026-05-18","279","HABIB AUTO MAYMAR","7000",""
"1168","2026-05-18","269","M/S AUTO SACHAL","3000",""
"1172","2026-05-18","267","HAFIZ AUTO PEHALWAN GOTH","4000",""
"1171","2026-05-18","266","MADNI AUTO PEHALWAN GOTH","7000",""
"1169","2026-05-18","36","HADIA K1 NORTH NAZIMABAD","15000",""
"1170","2026-05-18","211","ZAFAR AUTO SABZI MANDI","7500",""
"1174","2026-05-18","246","NASIR AUTO PEOPELS CHORANGI","1500",""
"1177","2026-05-18","270","SARWAR AUTO PEOPELS CHOWRANGI","2000",""
"1178","2026-05-18","217","BISMILLAH AUTO WATER PUMP","1000",""
"1173","2026-05-18","259","IMRAN AUTO PEHALWAN GOTH","5500",""
"1176","2026-05-18","271","SALEEM AUTO PEOPELS CHOWRANGI","1000",""
"1175","2026-05-18","210","SHAH JI AUTO PEOPELS CHOWK","2000",""
"1205","2026-05-19","256","PARTS WALA AUTO LANDHI 6","8000",""
"1206","2026-05-19","102","SALEEM MAMU","5000",""
"1198","2026-05-19","220","SHAFI AUTO MEMON GOTH","10000",""
"1204","2026-05-19","251","KARACHI AUTO QUAIDABAD","10000",""
"1193","2026-05-19","20","ALI AUTOS ISLAM CHOWK","10000",""
"1194","2026-05-19","71","HAMZA KHAN AUTOS ORANGI TOWN","10000",""
"1195","2026-05-19","69","WAQAS AUTOS ISLAM CHOWK","40000",""
"1190","2026-05-19","139","IQBAL AUTO BALDIA","5000",""
"1191","2026-05-19","130","ALVI AUTO BALDIA 4 NUMBER","3000",""
"1192","2026-05-19","112","RAJPUT AUTO SABRI CHOWK ORANGI","10000",""
"1196","2026-05-19","89","WAQAS TYRE TUBE ISLAM CHOWK","20000",""
