"invno","date","ccode","cname","amount","isret"
"967","2026-07-22","116","ASIF SUPPLIER ZIP 1","10005","N"
"965","2026-07-22","109","BABU AUTO SINDHI HOTEL","61950","N"
"964","2026-07-22","336","DEEWAN AUTO SHAH FAISAL","15500","N"
"966","2026-07-22","217","BISMILLAH AUTO WATER PUMP","55900","N"
"963","2026-07-22","292","AL-REHMAN AUTO MALIR","10500","N"
"972","2026-07-23","287","HAFEEZ AUTO GHAZI GOTH","18090","N"
"969","2026-07-23","98","ASLAM AUTOS MARIPUR","157350","N"
"970","2026-07-23","343","RAZA AUTO PANGRIO","64830","N"
"971","2026-07-23","220","SHAFI AUTO MEMON GOTH","6750","N"
"968","2026-07-23","330","MADINA AUTO QUAIDABAD","21050","N"
"973","2026-07-24","53","NOORANI AUTOS BADIN","152950","N"
"975","2026-07-24","101","A.R AUTOS BAGH-E-KORANGI","15500","N"
"974","2026-07-24","242","KING AUTO BEHAR COLONY","13400","N"
"976","2026-07-25","14","ZIP","50460","N"
"981","2026-07-27","289","GHAZI AUTO PEHALWAN GOTH","8000","N"
"984","2026-07-27","51","NEW KAKAR AUTOS PIDC","26400","N"
"983","2026-07-27","356","AMAN AUTO SADI TOWN","104032.5","N"
"986","2026-07-27","70","UNIQUE AUTOS LANDHI","20000","N"
"985","2026-07-27","166","M.A AUTO VINDER","8450","N"
"982","2026-07-27","171","MAMA JAMALI AUTO BADIN","14000","N"
"978","2026-07-27","311","INSAF AUTO LIYARI 36","24444","N"
"977","2026-07-27","36","HADIA K1 NORTH NAZIMABAD","60400","N"
"980","2026-07-27","355","A.B AUTO GHANIABAD","24900","N"
"979","2026-07-27","78","MARWAT AUTO SCOUT COLONY","7050","N"
"989","2026-07-28","116","ASIF SUPPLIER ZIP 1","5750","N"
"987","2026-07-28","150","M UMER BADIN","72000","N"
"991","2026-07-28","347","S.K AUTO PEHALWAN GOTH","5100","N"
"993","2026-07-28","60","RIZWAN SUPPLIER KORANGI","19400","N"
"988","2026-07-28","149","SHEIKH AUTO PEHALWAN GOTH","80000","N"
"992","2026-07-28","220","SHAFI AUTO MEMON GOTH","49850","N"
"994","2026-07-29","104","HAMZA AUTO MOSMIYAT","22800","N"
"996","2026-07-29","25","AZAN AUTO BADIN","9500","N"
"995","2026-07-29","150","M UMER BADIN","63000","N"
"997","2026-07-30","114","TAJ AUTO MEHRAN TOWN 1","24450","N"
"998","2026-07-30","192","SUBHAN AUTO GULSHAN 13D","14239.6","N"
"999","2026-07-30","295","SIDDIQUE AUTO BILAL COLONY","13875","N"
"1000","2026-07-30","82","JUNAID AUTO AGRA TAJ","43262","N"
"1004","2026-07-31","14","ZIP","5445","N"
"1005","2026-07-31","357","ADIL AUTO UP MARKET","53835","N"
"1003","2026-07-31","238","IMRAN AUTO SHER PAO","30900","N"
"1002","2026-07-31","209","R-K AUTO MARKET","10000","N"
"1001","2026-07-31","213","YOUSUF AUTO GULLSHAN 13D","11766.1","N"
"1006","2026-08-01","337","NOORANI AUTO SAFORA","103741.5","N"
"1007","2026-08-01","125","MADINA AUTO SAFORA","4550","N"
