#,Manager Name,Manager Balance,Naveed Name,Naveed Balance,Difference (Nav − Mgr),Names Match?,Possible Spelling Correction (Naveed → Manager),Status
50,Babu Autos Sindhi Hotel,67290,Babu Auto Sindhi Hotel,77290,10000,No,Babu Autos Sindhi Hotel,Balance differs
51,Bhatti Autos Gulshan Block 2,14300,Bhatti Auto Gulshan Blk 2,14300,0,No,Bhatti Autos Gulshan Block 2,Exact match
52,Bhittai Autos Samaro,70491,Bhittai Autos Samaro,70500,9,Yes,,Balance differs
53,Bilal Jan Autos Gawadar,44840,Bilal Jan Auto Gawadar,44840,0,No,Bilal Jan Autos Gawadar,Exact match
54,Bismillah Autos Water Pump,31390,Bismillah Auto Water Pump,31390,0,No,Bismillah Autos Water Pump,Exact match
55,Daniyal Autos Azam Basti,29400,Daniyal Auto Azam Basti,29400,0,No,Daniyal Autos Azam Basti,Exact match
56,Deewan Auto Shah Faisal,14140,Deewan Auto Shah Faisal,14140,0,Yes,,Exact match
57,Doda Auto Turbat,134403,Doda Auto Turbat,134403,0,Yes,,Exact match
58,Faisal Autos Azeem Pura,20300,Faisal Auto Azeem Pura,20300,0,No,Faisal Autos Azeem Pura,Exact match
59,Faisal Auto Pehalwan Goth,13900,Faisal Auto Pehawan Goth,13900,0,No,Faisal Auto Pehalwan Goth,Exact match
60,Faisal Autos Korangi,720,Faisal Autos Korangi,720,0,Yes,,Exact match
61,(not in Manager),,Faisal M.S.A.A. Traders,700,,—,,Not in Manager
62,Farhan Autos Water Pump,1680,Farhan Auto Water Pump,680,-1000,No,Farhan Autos Water Pump,Balance differs
63,Farhan Autos Water Pump (Wheel Rim),920,Farhan W/P Wheel Rim,920,0,No,Farhan Autos Water Pump (Wheel Rim),Exact match
64,Farooq Autos Shah Faisal,20000,Farooq Auto Shah Faisal,20000,0,No,Farooq Autos Shah Faisal,Exact match
65,Ghazi Autos Pehalwan Goth,32740,Ghazi Auto Pehalwan Goth,32740,0,No,Ghazi Autos Pehalwan Goth,Exact match
66,Ghazi Autos Golarchi,68700,Ghazi Autos Golarchi,95100,26400,Yes,,Balance differs
67,Ghosia Jhudoo,37400,Ghousia Auto Jhuddo,37400,0,No,Ghosia Jhudoo,Exact match
68,Habib Auto Maymar,13800,Habib Auto Maymar,10740,-3060,Yes,,Balance differs
69,Hadia K1 North Nazimabad,58350,Hadia K1 North Nazimabad,55100,-3250,Yes,,Balance differs
70,Hafeez Auto Ghazi Goth,6750,Hafeez Auto Ghazi Goth,6750,0,Yes,,Exact match
71,Hafeez Autos Khan Bela,131000,Hafeez Auto Khan Bela,131000,0,No,Hafeez Autos Khan Bela,Exact match
72,Hafiz Autos Pehalwan Goth,13395,Hafiz Auto Pehalwan Goth,6005,-7390,No,Hafiz Autos Pehalwan Goth,Balance differs
73,Haji Iqbal Qureshi Autos UP,25000,Haji Iqbal Qureshi U.P,25000,0,No,Haji Iqbal Qureshi Autos UP,Exact match
74,Hammad Surjani,50,Hammad Surjani,50,0,Yes,,Exact match
75,Al-Hamza Autos Mosamiyat,92280,Hamza Auto Mosmiyat,92280,0,No,Al-Hamza Autos Mosamiyat,Exact match
76,Hamza Autos Surjani,21400,Hamza Auto Surjani,21400,0,No,Hamza Autos Surjani,Exact match
77,Hamza Khan Autos Orangi Town,78570,Hamza Khan Autos Orangi Town,68820,-9750,Yes,,Balance differs
78,Hamza Khan Autos Islam Chowk (Wheel Rim),25050,Hamza Khan Wheel Rim,24800,-250,No,Hamza Khan Autos Islam Chowk (Wheel Rim),Balance differs
79,Hasnain Autos Korangi 51-A,31480,Hasnain Auto Korangi 51 A,30180,-1300,No,Hasnain Autos Korangi 51-A,Balance differs
80,Honda Autos Karachi Pakistan Chowk,112055,Honda Karachi Pakistan Chowk,106855,-5200,No,Honda Autos Karachi Pakistan Chowk,Balance differs
81,Huma Autos Korangi,1950,Huma Auto Korangi,1950,0,No,Huma Autos Korangi,Exact match
82,Hussain Autos Shah Faisal,222295,Hussain Auto Shah Faisal,215075,-7220,No,Hussain Autos Shah Faisal,Balance differs
83,Imran Autos Faqeera Goth,87400,Imran Auto Faqeera Goth,87400,0,No,Imran Autos Faqeera Goth,Exact match
84,Imran Auto Malir,5000,Imran Auto Malir,5000,0,Yes,,Exact match
85,Imran Autos Pehalwan Goth,47750,Imran Auto Pehalwan Goth,47750,0,No,Imran Autos Pehalwan Goth,Exact match
86,Imran Auto Sher Pao,22250,Imran Auto Sher Pao,22250,0,Yes,,Exact match
87,Insaf Autos Liyari 36,27405,Insaf Auto Liyari 36,27405,0,No,Insaf Autos Liyari 36,Exact match
