"ccode","oracle_name","odoo_name","match","fuzzy_score","oracle_balance","odoo_balance","difference","known_mgr_diff","classification","last_activity","user_note"
"271","SALEEM AUTO PEOPELS CHOWRANGI","Saleem Autos Peoples Chowrangi","fuzzy","0.889","-5","-5005","-5000","","NEW","2026-06-03",""
"272","KAMRAN AUTO SHEHDAD KOT","Kamran Autos Shehdad Kot","name_map","","2940","2940","0","0","AGREES","2026-07-09",
"273","RIZWAN AUTO MALIR","Rizwan Autos Malir","name_map","","56320","38620","-17700","0","NEW","2026-07-28",
"274","A.M AUTO MALIR","A.M Autos Malir","name_map","","8650","15190","6540","1580","NEW","2026-07-14","1580 payment missing from manager made on 15 june"
"275","MUNAWAR GUMBHAT","Munawar Ghambat","name_map","","47350","77350","30000","0","NEW","2026-07-17",
"276","REHAN AUTO SHAH FAISAL","Rehan Autos Shah Faisal","name_map","","15781","30781","15000","0","NEW","2026-07-31",
"277","NASIR MAQBOOL MKT","Nasir Maqbool DTL","name_map","","10320","10320","0","0","AGREES","2026-05-14",
"278","SHOAIB AUTO SACHAL","Shoaib Auto Sachal","exact","","25","25","0","0","AGREES","2026-07-13",
"279","HABIB AUTO MAYMAR","Habib Auto Maymar","exact","","4060","4060","0","3060","AGREES","2026-06-29",
"280","MINHAJ AUTO MAYMAR","Minhaj Auto Maymar","exact","","14200","24196","9996","0","NEW","2026-07-27",
"281","SUBHAN ALLAH AUTO SACHAL","Subhan Allah Autos Sachal","name_map","","67700","24700","-43000","0","NEW","2026-07-27",
"282","SALEEM AUTO MAYMAR","Saleem Auto Maymar","exact","","13700","28700","15000","5000","NEW","2026-07-27",
"284","SAMI AUTO GULLSHAN 13D","Sami Auto Gulshan 13-D","fuzzy","0.947","0","10","10","","NEW","2026-06-27",""
"285","K.K AUTO RABIA CITY","K.K Autos Rabia City","name_map","","51070.5","60520","9449.5","0","NEW","2026-07-27",
"286","QUETTA AUTO BAKRA PIRI MALIR","Quetta Auto Bakra Piri Malir","exact","","0","0","0","0","AGREES","2026-07-07",
"287","HAFEEZ AUTO GHAZI GOTH","Hafeez Auto Ghazi Goth","exact","","122440","88350","-34090","0","NEW","2026-07-27",
"289","GHAZI AUTO PEHALWAN GOTH","Ghazi Autos Pehalwan Goth","name_map","","39740","41740","2000","0","NEW","2026-07-27",
"290","AHSAN AUTO PEHALWAN GOTH","Ahsan Autos Pehalwan Goth","name_map","","5250","5250","0","0","AGREES","2026-05-11",
"291","FAISAL AUTO PEHAWAN GOTH","Faisal Auto Pehalwan Goth","name_map","","8900","13900","5000","0","NEW","2026-07-28",
"292","AL-REHMAN AUTO MALIR","Al-Rehman Auto Malir","exact","","16645","26500","9855","4000","NEW","2026-07-29","26 may payment of 4000 not recorded by akber"
"293","SIDDIQUE AUTO LANDHI","Siddique Auto Landhi","exact","","4970","-1680","-6650","","NEW","2026-07-31",
"294","KAZIM AUTO BAG E KORANGI W/RIM","","","","0","","","","NOT IN ODOO","2026-05-21",""
"295","SIDDIQUE AUTO BILAL COLONY","Siddique Auto Bilal Colony","exact","","26925","30500","3575","19550","NEW","2026-07-30",
"296","ARIF AUTO TALHAR","Arif Autos Talhar","name_map","","-5800","-5800","0","0","AGREES","2026-07-02",
"297","AWAMI AUTO FAQEERA GOTH","Awami Autos Faqeera Goth","name_map","","3204","6204","3000","0","NEW","2026-07-13",
"298","IQBAL AUTO QAIDABAD","Iqbal Autos Quaidabad","name_map","","20848","35348","14500","7000","NEW","2026-07-20",
"299","HASHTAG TRADERS LANDHI 6","","","","84525","","","","NOT IN ODOO","2026-07-20",""
"300","RAZA AUTO MALIR","Raza Autos Malir","name_map","","5900","5900","0","0","AGREES","2026-06-10",
"301","MAKKA KORANGI #3 W/R","Makka Autos Korangi 3 Number (Wheel Rim)","name_map","","8520","8520","0","0","AGREES","2026-05-18",
"302","SARWAR AUTO W/RIM","Sarwar Autos People's Chowrangi (Wheel Rim)","name_map","","4200","4200","0","0","AGREES","2026-05-18",
"303","UNIQUE AUTO LANDHI W/RIM","","","","0","","","","NOT IN ODOO","2026-06-27",""
"304","A.R AUTO KORANGI W/RIM","A.R Autos Bagh-e-Korangi (Wheel Rim)","name_map","","8400","8400","0","0","AGREES","2026-05-18",
"305","ALI AUTO ISLAM CHOWK W/RIM","Ali Autos Islam Chowk (Wheel Rim)","name_map","","92886","77600","-15286","0","NEW","2026-07-28",
"307","SUBHAN AUTO 13D W/RIM","Subhan Auto Gulshan 13D (Wheel Rim)","name_map","","100","8100","8000","1000","NEW","2026-07-01",
"308","SHAN AUTO MALIR","Shan Auto Malir","exact","","16120","3570","-12550","0","NEW","2026-07-14",
"309","AHMED RAZA REHMANIA W/RIM","Ahmed Raza Autos Rehmania Mor (Wheel Rim)","name_map","","25950","25950","0","0","AGREES","2026-06-02",
"310","TIGER AUTO LUCKY STAR","Tiger Autos Lucky Star","name_map","","9550","15550","6000","0","NEW","2026-07-30",
"311","INSAF AUTO LIYARI 36","Insaf Autos Liyari 36","name_map","","24849","405","-24444","0","NEW","2026-07-27",
"312","OSAMA ISLAM CHOWK W/RIM","Osama Islam Chowk (Wheel Rim)","name_map","","8700","8700","0","0","AGREES","2026-06-08",
"313","INSAF LIYARI 36 W/RIM","Insaf Autos Liyari 36 (Wheel Rim)","name_map","","150","150","0","0","AGREES","2026-07-06",
"314","DANIYAL AUTO AZAM BASTI","Daniyal Autos Azam Basti","name_map","","29400","29400","0","0","AGREES","2026-06-08",
"315","SHAYAN AUTO UP W/RIM","Shayan Autos UP  (Wheel Rim)","name_map","","23560","38560","15000","0","NEW","2026-07-16",
"316","ASLAM AUTO MAJEED COLONY","Aslam Auto Majeed Colony","exact","","22750","27750","5000","0","NEW","2026-07-22",
"317","MAST QALANDAR AUTO MATLI","","","","15050","","","","NOT IN ODOO","2026-06-10",
"318","B.S AUTO VINDER","B.s Auto Vinder","exact","","14300","14300","0","0","AGREES","2026-06-11",
"319","BILAL JAN AUTO GAWADAR","Bilal Jan Autos Gawadar","name_map","","0","44840","44840","0","NEW","2026-07-15",
"320","SHAHZAD AUTO GAWADAR","Shahzad Auto Gawadar","exact","","209237.75","90677.75","-118560","-0.25","NEW","2026-07-21",
"321","NASEER AUTO LIYARI 36","Naseer Auto Liyari 36","exact","","15034","0","-15034","0","NEW","2026-07-27",
"322","MIRAJ AUTO M.KHAN GOTH","Miraj Auto M.Khan Goth","exact","","15450","22450","7000","0","NEW","2026-07-20",
"323","MAKRAN AUTO TURBAT","Makran Auto Turbat","exact","","760","114760","114000","0","NEW","2026-07-20",
"324","DODA AUTO TURBAT","Doda Auto Turbat","exact","","134403","134403","0","0","AGREES","2026-06-16",
"325","ARYAN AUTO SUJAWAL","","","","45000","","","","NOT IN ODOO","2026-06-16",
"327","AJMERI AUTO SINDHI HOTEL","Ajmeri Autos Sindhi Hotel","name_map","","8125","19125","11000","0","NEW","2026-07-30",
"330","MADINA AUTO QUAIDABAD","Madina Auto Quaidabad","exact","","27130","16080","-11050","0","NEW","2026-07-29",
"331","M.UMAR AUTO NASIR JUMP KORANGI","M Umar Auto Nasir Jump Korangi","exact","","17900","47900","30000","0","NEW","2026-07-30",
"332","ALTAF HAIR DRESER","","","","9650","","","","NOT IN ODOO","2026-06-18",
"333","A-ONE AUTO NUKOT","A-One Auto Naukot","fuzzy","0.929","35200","65200","30000","","NEW","2026-07-24",""
"334","PAK AUTO SHAHFAISAL SECTOR 22B","Pak Auto Shah Faisal Sector 22B","exact","","48550","68550","20000","0","NEW","2026-07-22",
"335","MAHROOF AUTO SHAH FAISAL","Mahroof Autos Shah Faisal","name_map","","23550","25550","2000","0","NEW","2026-07-17",
"336","DEEWAN AUTO SHAH FAISAL","Deewan Auto Shah Faisal","exact","","25390","18890","-6500","0","NEW","2026-07-31",
"337","NOORANI AUTO SAFORA","Noorani Autos Safora","name_map","","108591.5","93850","-14741.5","0","NEW","2026-08-01",
"338","REHMAN AUTO JANJAL GOTH","Rehman Autos Janjal Goth","fuzzy","0.952","95100","70800","-24300","","NEW","2026-07-27",""
"340","HAJI AUTO JAMALI PULL","Haji Auto Jamali Pull","exact","","90550","122550","32000","","NEW","2026-07-27",""
"341","OWAIS AUTO U.P","Owais Auto U.P","exact","","10000","10000","0","","AGREES","2026-06-30",""
"342","AWAMI AUTO W/RIM","","","","17000","","","","NOT IN ODOO","2026-07-14",""
"343","RAZA AUTO PANGRIO","","","","64830","","","","NOT IN ODOO","2026-07-23",""
"344","KARACHI AUTO MALIR JINNAH SQUA","Karachi Auto Malir Jinnah Square","fuzzy","0.929","5250","5250","0","","AGREES","2026-07-07",""
"345","SAMI AUTO MALIR KALA BOARD","Sami Auto Malir Kala Board","exact","","13300","13300","0","","AGREES","2026-07-07",""
"347","S.K AUTO PEHALWAN GOTH","I.S Auto Pehalwan Goth","fuzzy","0.889","10900","0","-10900","","NEW","2026-07-28",""
"348","MUKHTAR AUTO KAMRAN CHORANGI","","","","0","","","","NOT IN ODOO","2026-07-27",""
"349","SALEEM AUTO HASNABAD","","","","20700","","","","NOT IN ODOO","2026-07-27",""
"350","HUZAIFA AUTO KORANGI 5/1","","","","17400","","","","NOT IN ODOO","2026-07-30",""
"351","QASIM AUTO HUB CHOWKI","Qasim Autos Hub Chowki","fuzzy","0.947","69000","0","-69000","","NEW","2026-07-18",""
"352","K.K AUTO RABIA CITY W/RIM","","","","16800","","","","NOT IN ODOO","2026-07-18",""
"353","MUNAWWAR AUTO MALIR","","","","13900","","","","NOT IN ODOO","2026-07-28",""
"355","A.B AUTO GHANIABAD","","","","24900","","","","NOT IN ODOO","2026-07-27",""
"356","AMAN AUTO SADI TOWN","","","","104032.5","","","","NOT IN ODOO","2026-07-27",""
"357","ADIL AUTO UP MARKET","","","","53835","","","","NOT IN ODOO","2026-07-31",""
"","","Akbar Patti","ODOO ONLY","","","2000","","","ODOO ONLY","",""
"","","Amir Autos Mirpur Khas","ODOO ONLY","","","4000","","","ODOO ONLY","",""
"","","Sultan Oil Traders","ODOO ONLY","","","-0.03","","","ODOO ONLY","",""
"","","Awami Autos Faqeera Goth (Wheel Rim)","ODOO ONLY","","","34000","","","ODOO ONLY","",""
"","","Danish Autos Korangi","ODOO ONLY","","","5","","","ODOO ONLY","",""
"","","Attari Autos Korangi 2.5 No.","ODOO ONLY","","","-500","","","ODOO ONLY","",""
"","","Hashtag Traders Landhi 6 Number","ODOO ONLY","","","37925","","","ODOO ONLY","",""
"","","Naveed Autos Lakhani Garden","ODOO ONLY","","","2200","","","ODOO ONLY","",""
"","","Madina Autos Safoora (Shoaib)","ODOO ONLY","","","12300","","","ODOO ONLY","",""
"","","Azan Autos Jimmy Landhi (Wheel Rim)","ODOO ONLY","","","24000","","","ODOO ONLY","",""
"","","Japan Autos TMK","ODOO ONLY","","","4800","","","ODOO ONLY","",""
"","","Khan Shahrukh Autos Korangi (Wheel Rim)","ODOO ONLY","","","2420","","","ODOO ONLY","",""
"","","Abid Autos Gulshan 13-D","ODOO ONLY","","","23930","","","ODOO ONLY","",""
"","","A.R.S Sprocket","ODOO ONLY","","","37070","","","ODOO ONLY","",""
"","","Negative Inventory Clearing","ODOO ONLY","","","382.33","","","ODOO ONLY","",""
"","","Amanullah Auto Memon Goth","ODOO ONLY","","","-1200","","","ODOO ONLY","",""
