pcode,pname,pack_name,category_id,sale_rate_pack,active
149,FRONT SHOCK ROD CDI125 ZIP 1,Pack,21,1.0,Y
154,CARBURETOR PZ18 EURO2,Pack,21,1.0,Y
155,SPOKE 2X50X17 ZIP 1,Pack,21,1.0,Y
156,"CHAIN KIT""CG125"" MAK 4",Pack,21,1.0,Y
157,METER CASE LED SHINE UNIQUE ZIP1,Pack,21,1.0,Y
158,METER CASE LED SHINE SUPER POWER ZIP1,Pack,21,1.0,Y
159,METER CASE LED SHINE SUPER STAR ZIP1,Pack,21,1.0,Y
160,METER CASE LED SHINE HONDA ZIP1,Pack,21,1.0,Y
161,"METER LED SHINE""UNIQUE""ZIP1",Pack,21,1.0,Y
162,"METER LED SHINE""HONDA""ZIP1",Pack,21,1.0,Y
163,"METER LED SHINE""SUPER STAR""ZIP1",Pack,21,1.0,Y
164,"METER LED SHINE""SUPER POWER""ZIP1",Pack,21,1.0,Y
