"partner_id","odoo_name","oracle_name","ccode","odoo_balance","oracle_balance","difference"
"1597","Asim Brothers Market","ASIM BROTHERS MARKET","138","20800","0","20800"
"1657","J & B Autos Shah Latif","J&B AUTO SHAH LATIF","237","20600","0","20600"
"1880","Pak Auto Shah Faisal Sector 22B","PAK AUTO SHAHFAISAL SECTOR 22B","334","68550","48550","20000"
"1758","Sufi Bilal Colony (Wheel Rim)","SUFI BILAL COLONY KORANGI","199","47650","27650","20000"
"1779","Yousuf Auto Sato Mal","YOUSUF AUTO SATO MAIL","133","60560","40560","20000"
"1761","Sumair Autos Golimar (Wheel Rim)","SUMAIR GOLIMAR W/RIM","201","20880","880","20000"
"1691","Malik Auto Lines Area","MALIK AUTO LINES AREA","77","24620","44020","-19400"
"1731","Rajput Autos Sabri Chowk (Wheel Rim)","RAJPUT AUTO ORANGI W/RIM","241","5660","24300","-18640"
"1580","Al-Haj Auto Mansehra Colony","AL-HAJ AUTO MANSERA COLONY","239","23100","4800","18300"
"1754","Sindh Kohli Samaro","SINDH KOHLI SAMARO","83","7000","25250","-18250"
"1823","Rizwan Autos Malir","RIZWAN AUTO MALIR","273","38620","56320","-17700"
"1671","Khan Autos Peoples Chowrangi","KHAN AUTO PEOPELS CHOWRANGI","193","6500","23900","-17400"
"1686","M/S Auto Gulshan 13-D (Wheel Rim)","M/S AUTO 13D W/RIM","216","10650","26850","-16200"
"1723","Qismat Autos Tando Ghulam Ali","QISMAT AUTO TANDO GHULAM ALI","226","31950","15950","16000"
"1650","Imran Auto Sher Pao","IMRAN AUTO SHER PAO","238","51450","67350","-15900"
"1855","Ali Autos Islam Chowk (Wheel Rim)","ALI AUTO ISLAM CHOWK W/RIM","305","77600","92886","-15286"
"1877","Naseer Auto Liyari 36","NASEER AUTO LIYARI 36","321","0","15034","-15034"
"1818","Rehan Autos Shah Faisal","REHAN AUTO SHAH FAISAL","276","30781","15781","15000"
"1720","Qadri Autos Shah Faisal","QADRI AUTO SHAH FAISAL","167","45355","30355","15000"
"1886","Shayan Autos UP  (Wheel Rim)","SHAYAN AUTO UP W/RIM","315","38560","23560","15000"
"1882","Saleem Auto Maymar","SALEEM AUTO MAYMAR","282","28700","13700","15000"
"1783","Zafar Autos Sabzi Mandi","ZAFAR AUTO SABZI MANDI","211","15990","990","15000"
"1690","Makka Autos Korangi 3 Number","MAKKA AUTO KORANGI 3 NUMBER","181","26550","11550","15000"
"1878","Noorani Autos Safora","NOORANI AUTO SAFORA","337","93850","108591.5","-14741.5"
"1869","Iqbal Autos Quaidabad","IQBAL AUTO QAIDABAD","298","35348","20848","14500"
"1702","Naseer Auto Vinder","NASEER AUTO VINDER","187","31200","45660","-14460"
"1835","Kashif R-K W/RIM","KASHIF R-K W/RIM","262","1600","16000","-14400"
"1610","B.S Korangi 4 POL (Shoaib)","B.S KORANGI 4 POOL","207","20550","7550","13000"
"1591","Ansari Autos Dastagir","ANSARI AUTO DASTAGIR","176","15851","2951","12900"
"1885","Shan Auto Malir","SHAN AUTO MALIR","308","3570","16120","-12550"
"1778","Yasir Autos Sachal Goth","YASIR AUTOS SACHAL GOTH","75","4750","17250","-12500"
"1581","Al-Hamza Autos Mosamiyat","HAMZA AUTO MOSMIYAT","104","57280","45080","12200"
"1572","Abdul Hadi Autos Drig Road","ABDUL HADI AUTO DRIG ROAD","170","31975","19975","12000"
"1718","Parts Wala Auto Landhi 6","PARTS WALA AUTO LANDHI 6","256","23100","11100","12000"
"1763","Taj Autos Mehran Town No. 2","TAJ AUTO MEHRAN TOWN 2","144","41375","29575","11800"
"1757","Subhan Auto Gulshan 13D","SUBHAN AUTO GULSHAN 13D","192","24750","13039.6","11710.4"
"1680","M.A Auto Khopra Par 4 Number","M.A AUTO KHOPRA PAR 4 NUMBER","230","0","11570","-11570"
"1872","Madina Auto Quaidabad","MADINA AUTO QUAIDABAD","330","16080","27130","-11050"
"1853","Ajmeri Autos Sindhi Hotel","AJMERI AUTO SINDHI HOTEL","327","19125","8125","11000"
"1667","Karachi Autos Quaidabad","KARACHI AUTO QUAIDABAD","251","20000","9096","10904"
"1746","Shafi Auto Gulshan Iqbal","SHAFI AUTO GULSHAN IQBAL","191","-10500","0","-10500"
"1830","Hanan Auto Nazimabad","HANAN AUTO NAZIMABAD","268","2745","13075","-10330"
"1642","Hasnain Autos Korangi 51-A","HASNAIN AUTO KORANGI 51 A","227","31480","21480","10000"
"1842","Minhaj Auto Maymar","MINHAJ AUTO MAYMAR","280","24196","14200","9996"
"1854","Al-Rehman Auto Malir","AL-REHMAN AUTO MALIR","292","26500","16645","9855"
"1593","Arsalan Autos 13-D Gulshan","ARSALAN AUTO 13D GULLSHAN","180","9450","0","9450"
"1839","K.K Autos Rabia City","K.K AUTO RABIA CITY","285","60520","51070.5","9449.5"
"1727","R.K Auto Market (Shoaib)","R-K AUTO MARKET","209","1000","10000","-9000"
"1577","Ahmed Raza Autos Rehmania Mor","AHMED RAZA AUTOS REHMANIA MOR","17","21210","12210","9000"
"1568","A.R Autos Bagh-e-Korangi","A.R AUTOS BAGH-E-KORANGI","101","57670","66370","-8700"
"1675","King Auto Behar Colony","KING AUTO BEHAR COLONY","242","1840","10240","-8400"
"1612","Baba And Sons Korangi 5/2","BABA & SONS KORANGI 5/2","255","1050","9450","-8400"
"1829","Hafiz Autos Pehalwan Goth","HAFIZ AUTO PEHALWAN GOTH","267","13395","21655","-8260"
"1776","Waqas Tyre Tube Islam Chowk","WAQAS TYRE TUBE ISLAM CHOWK","89","-8200","0","-8200"
"1766","Tayyaba Surjani","TAYYABA AUTO SURJANI","81","58600","66600","-8000"
"1628","Farooq Autos Shah Faisal","FAROOQ AUTO SHAH FAISAL","174","20000","12000","8000"
"1725","Quetta Autos Shah Latif","QUETTA AUTO SHAHLATIF","236","33300","25300","8000"
"1889","Subhan Auto Gulshan 13D (Wheel Rim)","SUBHAN AUTO 13D W/RIM","307","8100","100","8000"
"1607","B.S Autos Farzan Bakery Korangi","B.S AUTO FARZAN BAK KORANGI","173","24725","16975","7750"
"1668","Kartar Autos Chouhar Jamali","KARTAR AUTO CHOUARJAMALI","119","7500","0","7500"
"1762","Taj Autos Mehran Town","TAJ AUTO MEHRAN TOWN 1","114","18815","26265","-7450"
"1653","Iqbal Autos Baldia 4 No.","IQBAL AUTO BALDIA","139","-6020","980","-7000"
"1819","Shafi Auto Memon Goth","SHAFI AUTO MEMON GOTH","220","99610","106610","-7000"
"1876","Miraj Auto M.Khan Goth","MIRAJ AUTO M.KHAN GOTH","322","22450","15450","7000"
"1688","Madina Auto Azizabad","MADINA AUTO AZIZABAD","142","15690","8690","7000"
"1899","Siddique Auto Landhi","SIDDIQUE AUTO LANDHI","293","-1680","4970","-6650"
"1824","A.M Autos Malir","A.M AUTO MALIR","274","15190","8650","6540"
"1862","Deewan Auto Shah Faisal","DEEWAN AUTO SHAH FAISAL","336","18890","25390","-6500"
"1717","Pakistan Autos Quaidabad","PAKISTAN AUTO QUAIDABAD","158","28925","35225","-6300"
"1614","Bhatti Autos Gulshan Block 2","BHATTI AUTO GULSHAN BLK 2","120","14300","8300","6000"
"1585","Ali Break Shoe Qayyumabad","ALI AUTO MEHMODABAD","141","13320","19320","-6000"
"1890","Tiger Autos Lucky Star","TIGER AUTO LUCKY STAR","310","15550","9550","6000"
"1624","Faisal Autos Azeem Pura","FAISAL AUTO AZEEM PURA","248","9300","3300","6000"
"1574","Abid Autos Lucky Star","ABID AUTO LUCKY STAR","223","22550","17050","5500"
"1696","Mamu","SALEEM MAMU","102","5280","0","5280"
"1596","Asif Autos Sabzi Mandi","ASIF AUTO SABZI MANDI","190","21015","15975","5040"
"1692","Mama A-1 Gulshan 13-D","MAMA A-1 GULSHAN 13D","140","5060","60","5000"
"1777","Warsi Auto Nazimabad","WARSI AUTO NAZIMABAD","254","21600","16600","5000"
"1864","Faisal Auto Pehalwan Goth","FAISAL AUTO PEHAWAN GOTH","291","13900","8900","5000"
"1857","Aslam Auto Majeed Colony","ASLAM AUTO MAJEED COLONY","316","27750","22750","5000"
"1834","Asad Autos Malir","ASAD AUTO MALIR","260","6350","2000","4350"
"1780","Yousuf Autos Gulshan 13 D","YOUSUF AUTO GULLSHAN 13D","213","27355","23091.1","4263.9"
"1700","Mashood Supplier","MASHOOD SUPPLIER","47","0","3800","-3800"
"1888","Siddique Auto Bilal Colony","SIDDIQUE AUTO BILAL COLONY","295","30500","26925","3575"
"1567","A.H Autos Orangi L Block","A.H AUTO ORANGI L BLOCK","105","3705","7055","-3350"
"1747","Shah Ji Autos Peoples Chowk","SHAH JI AUTO PEOPELS CHOWK","210","-1555","1745","-3300"
"1858","Awami Autos Faqeera Goth","AWAMI AUTO FAQEERA GOTH","297","6204","3204","3000"
"1606","B.S Autos Azizabad","B.S AUTO AZIZABAD","129","17050","19950","-2900"
"1750","Shamim Autos Kala Board","SHAMIM AUTO KALA BOARD","233","7056","9631","-2575"
"1637","Hamza Autos Surjani","HAMZA AUTO SURJANI","111","18400","15900","2500"
"1865","Ghazi Autos Pehalwan Goth","GHAZI AUTO PEHALWAN GOTH","289","41740","39740","2000"
"1873","Mahroof Autos Shah Faisal","MAHROOF AUTO SHAH FAISAL","335","25550","23550","2000"
"1821","Sarwar Autos People's Chowrangi","SARWAR AUTO PEOPELS CHOWRANGI","270","12510","14370","-1860"
