invno,invdate,ccode,supplier,is_return,supplier_inv_no,supplier_inv_date,remarks,freight,amount
102,2026-04-08,36,HADIA K1 NORTH NAZIMABAD,Y,,,,0,3250
103,2026-04-08,88,AHSAN JALIL,N,,,,0,306000
104,2026-04-11,249,WAKEEL,N,,,,0,24000
105,2026-04-11,227,HASNAIN AUTO KORANGI 51 A,Y,,,,0,1300
106,2026-04-13,135,UZAIR SPOKE,N,,,,0,44000
107,2026-04-14,136,CROWN,N,,,,0,864040
108,2026-04-14,24,AYAN AUTOS CLIFTON,Y,,,,0,27150
109,2026-04-16,143,YOUSUF ENGINERING LHR,N,,,,0,210000
110,2026-04-18,76,ANWER ENGINERING,N,,,,0,245000
111,2026-04-18,136,CROWN,N,,,,0,76300
112,2026-04-21,94,SHAMS BHAI,N,,,,0,437000
113,2026-04-22,94,SHAMS BHAI,N,,,,0,350000
114,2026-04-23,6,GRANDTECH,N,,,,0,205000
115,2026-04-24,25,AZAN AUTO BADIN,Y,,,,0,5950
116,2026-04-24,42,KHATAOMAL PANGRIO,Y,,,,0,37000
117,2026-04-25,4,AHMED SPOKE LAHORE,N,,,,0,374800
118,2026-04-25,34,F.A AUTOS THATTA,Y,,,,0,135000
119,2026-04-25,136,CROWN,N,,,,0,759120
120,2026-04-27,101,A.R AUTOS BAGH-E-KORANGI,Y,,,,0,17750
121,2026-04-28,144,TAJ AUTO MEHRAN TOWN 2,Y,,,,0,3600
122,2026-04-28,144,TAJ AUTO MEHRAN TOWN 2,Y,,,,0,9000
123,2026-04-28,123,LUCKY AUTO WATER PUMP,Y,,,,0,8000
124,2026-04-28,76,ANWER ENGINERING,N,,,,0,202500
125,2026-05-05,88,AHSAN JALIL,N,,,,0,198400
126,2026-05-05,283,REHAN BAWA,N,,,,0,295000
127,2026-05-05,73,HUSSAIN AUTO SHAH FAISAL,Y,,,,0,7220
128,2026-05-05,210,SHAH JI AUTO PEOPELS CHOWK,Y,,,,0,1545
129,2026-05-05,279,HABIB AUTO MAYMAR,Y,,,,0,3060
130,2026-05-08,164,STAR AUTO MAYMAR,Y,,,,0,3100
131,2026-05-09,288,DANISH JHANGIR,N,,,,0,110000
133,2026-05-13,188,ARSALAN IRSHAD LHR,N,,,,0,690000
134,2026-05-13,6,GRANDTECH,N,,,,0,215000
135,2026-05-15,13,WELCOME BMS BRAKESHOE,N,,,,0,207480
136,2026-05-15,163,HAMID LHR,N,,,,0,519600
137,2026-05-15,261,KASHIF R-K SHAH LATIF,Y,,,,0,109200
138,2026-05-15,262,KASHIF R-K W/RIM,Y,,,,0,14400
139,2026-05-20,306,H.D.R LAHORE,N,,,,0,354000
140,2026-05-20,94,SHAMS BHAI,N,,,,0,138600
141,2026-05-25,267,HAFIZ AUTO PEHALWAN GOTH,Y,,,,0,7350
142,2026-05-25,32,DAWOOD SULTAN AUTOS ORANGI TOW,Y,,,,0,5600
143,2026-05-25,161,SHAYAN AUTO U.P,Y,,,,0,4450
144,2026-05-25,241,RAJPUT AUTO ORANGI W/RIM,Y,,,,0,18640
145,2026-05-25,268,HANAN AUTO NAZIMABAD,Y,,,,0,14915
146,2026-05-25,181,MAKKA AUTO KORANGI 3 NUMBER,Y,,,,0,4200
147,2026-05-25,71,HAMZA KHAN AUTOS ORANGI TOWN,Y,,,,0,9750
148,2026-05-26,179,A.W AUTO WATER PUMP,Y,,,,0,20400
149,2026-05-26,178,B.S ALIYAN AUTO WATER PUMP,Y,,,,0,1980
150,2026-05-26,267,HAFIZ AUTO PEHALWAN GOTH,Y,,,,0,4000
151,2026-05-26,190,ASIF AUTO SABZI MANDI,Y,,,,0,7605
152,2026-05-26,193,KHAN AUTO PEOPELS CHOWRANGI,Y,,,,0,19400
153,2026-05-26,230,M.A AUTO KHOPRA PAR 4 NUMBER,Y,,,,0,11570
154,2026-05-15,155,HAFEEZ ENGINEERING WORKS LHR,N,,,,0,610000
155,2026-05-22,188,ARSALAN IRSHAD LHR,N,,,,0,217500
156,2026-06-03,163,HAMID LHR,N,,,,0,187800
157,2026-06-09,6,GRANDTECH,N,,,,0,215000
158,2026-06-09,86,KAIZEN,N,,,,0,110000
159,2026-06-10,94,SHAMS BHAI,N,,,,0,770000
160,2026-06-10,136,CROWN,N,,,,0,877000
161,2026-06-10,13,WELCOME BMS BRAKESHOE,N,,,,0,317590
162,2026-06-10,116,ASIF SUPPLIER ZIP 1,Y,,,,0,18000
163,2026-06-13,14,ZIP,N,,,,0,14640
164,2026-06-15,14,ZIP,N,,,,0,19887.5
165,2026-06-16,326,SADDAM ROYAL KING,N,,,,0,16000
166,2026-06-17,143,YOUSUF ENGINERING LHR,N,,,,0,324000
167,2026-06-17,328,FAISAL SULEMAN,N,,,,0,46000
168,2026-06-17,329,NAJAM BHAI FAISAL BHAI,N,,,,0,30000
169,2026-06-18,288,DANISH JHANGIR,N,,,,0,220000
170,2026-06-18,328,FAISAL SULEMAN,N,,,,0,55200
171,2026-06-22,329,NAJAM BHAI FAISAL BHAI,N,,,,0,33000
172,2026-06-23,70,UNIQUE AUTOS LANDHI,Y,,,,0,159300
173,2026-06-27,75,YASIR AUTOS SACHAL GOTH,Y,,,,0,12500
174,2026-06-29,151,PIRANI ENGINERING,N,,,,0,430100
176,2026-05-15,56,RAHIM BHAI CLASSIC MOTORCYCLE,Y,,,,0,21920
177,2026-06-29,255,BABA & SONS KORANGI 5/2,Y,,,,0,9450
179,2026-06-30,160,HAJI IQBAL QURESHI U.P,Y,,,,0,22985
180,2026-06-30,105,A.H AUTO ORANGI L BLOCK,Y,,,,0,2100
181,2026-07-01,151,PIRANI ENGINERING,N,,,,0,275400
182,2026-07-06,163,HAMID LHR,N,,,,0,206000
183,2026-07-06,76,ANWER ENGINERING,N,,,,0,306000
184,2026-07-07,13,WELCOME BMS BRAKESHOE,N,,,,0,109200
185,2026-07-08,158,PAKISTAN AUTO QUAIDABAD,Y,,,,0,7250
186,2026-07-08,58,RAZA AUTO K AREA MARKET,Y,,,,0,92680
187,2026-07-08,81,TAYYABA AUTO SURJANI,Y,,,,0,1400
189,2026-07-08,305,ALI AUTO ISLAM CHOWK W/RIM,Y,,,,0,82400
190,2026-07-08,20,ALI AUTOS ISLAM CHOWK,Y,,,,0,100299
191,2026-07-10,94,SHAMS BHAI,N,,,,0,137500
192,2026-07-13,13,WELCOME BMS BRAKESHOE,N,,,,0,73710
193,2026-07-14,36,HADIA K1 NORTH NAZIMABAD,Y,,,,0,6800
194,2026-07-15,306,H.D.R LAHORE,N,,,,0,138000
195,2026-07-15,6,GRANDTECH,N,,,,0,214140
196,2026-07-15,128,ZAIB AUTO WATER PUMP,Y,,,,0,4090
197,2026-07-16,332,ALTAF HAIR DRESER,Y,,,,0,9650
198,2026-07-16,239,AL-HAJ AUTO MANSERA COLONY,Y,,,,0,12800
199,2026-07-16,13,WELCOME BMS BRAKESHOE,N,,,,0,196560
200,2026-07-18,131,ROYAL KING R-K,N,,,,0,100000
201,2026-07-18,321,NASEER AUTO LIYARI 36,Y,,,,0,14065
202,2026-07-21,354,HINA AUTO LAHORE,N,,,,0,244000
203,2026-07-21,136,CROWN,N,,,,0,1010000
204,2026-07-23,236,QUETTA AUTO SHAHLATIF,Y,,,,0,24840
205,2026-07-25,213,YOUSUF AUTO GULLSHAN 13D,Y,,,,0,2400
206,2026-07-25,176,ANSARI AUTO DASTAGIR,Y,,,,0,1980
207,2026-07-25,254,WARSI AUTO NAZIMABAD,Y,,,,0,5950
208,2026-07-25,159,WAQAS AUTO BUFFER ZONE,Y,,,,0,13420
209,2026-07-25,213,YOUSUF AUTO GULLSHAN 13D,Y,,,,0,2745
210,2026-07-27,131,ROYAL KING R-K,N,,,,0,100000
211,2026-07-27,133,YOUSUF AUTO SATO MAIL,Y,,,,0,2600
212,2026-07-28,306,H.D.R LAHORE,N,,,,0,138000
213,2026-07-28,76,ANWER ENGINERING,N,,,,0,147000
214,2026-07-28,76,ANWER ENGINERING,N,,,,0,225000
215,2026-07-28,104,HAMZA AUTO MOSMIYAT,Y,,,,0,8200
216,2026-07-29,358,HAFIZ SHAFIQUE LHR,N,,,,0,407000
217,2026-08-03,6,GRANDTECH,N,,,,0,215000
218,2026-08-03,288,DANISH JHANGIR,N,,,,0,137500
219,2026-08-03,131,ROYAL KING R-K,N,,,,0,16800
220,2026-08-06,68,ARIF AUTOS LANDHI,Y,,,,0,91200
221,2026-08-07,359,BAWA GROUP & COMPANY,N,,,,0,323000
222,2026-08-07,131,ROYAL KING R-K,N,,,,0,50400
223,2026-08-07,94,SHAMS BHAI,N,,,,0,1230000
224,2026-08-08,306,H.D.R LAHORE,N,,,,0,486400
225,2026-08-08,131,ROYAL KING R-K,N,,,,0,16800
226,2026-08-10,342,AWAMI AUTO W/RIM,Y,,,,0,8500
227,2026-08-11,56,RAHIM BHAI CLASSIC MOTORCYCLE,Y,,,,0,9000
228,2026-08-11,136,CROWN,N,,,,0,379080
229,2026-08-11,131,ROYAL KING R-K,N,,,,0,268800
230,2026-08-13,13,WELCOME BMS BRAKESHOE,N,,,,0,185640
231,2026-08-13,143,YOUSUF ENGINERING LHR,N,,,,0,334500
232,2026-08-19,358,HAFIZ SHAFIQUE LHR,N,,,,0,305500
233,2026-08-19,36,HADIA K1 NORTH NAZIMABAD,Y,,,,0,11565
234,2026-08-21,335,MAHROOF AUTO SHAH FAISAL,Y,,,,0,11850
235,2026-08-21,330,MADINA AUTO QUAIDABAD,Y,,,,0,2600
236,2026-08-22,3,A.R.S SPROCKET,N,,,,0,323000
237,2026-08-24,364,SHAN AUTO GULSHAN JAMALI,Y,,,,0,1450
238,2026-08-25,13,WELCOME BMS BRAKESHOE,N,,,,0,410400
239,2026-08-27,170,ABDUL HADI AUTO DRIG ROAD,Y,,,,0,4500
240,2026-08-27,141,ALI AUTO MEHMODABAD,Y,,,,0,2000
241,2026-08-29,151,PIRANI ENGINERING,N,,,,0,459000
242,2026-08-29,163,HAMID LHR,N,,,,0,216000
