invno,invdate,ccode,line_no,pcode,pname,qty,uprice,line_gross
223,2026-08-07,94,1,143,CARBURETOR PZ22 ZIP 1,300,1540,462000
223,2026-08-07,94,2,126,"CARBURETOR PZ 16""ZIP 1""",300,1540,462000
223,2026-08-07,94,3,154,CARBURETOR PZ18 EURO2,100,1510,151000
223,2026-08-07,94,4,135,CARBURETOR PZ27 CDI 125,100,1550,155000
224,2026-08-08,306,1,94, SPARK PLUG C7HSA H.D.R,4800,53,254400
224,2026-08-08,306,2,170,SPOKE 300X17 ZIP 1,800,290,232000
225,2026-08-08,131,1,119,FRONT SHOCK JH.90 RECO STAR,6,2800,16800
226,2026-08-10,342,1,97,WHEEL RIM SET,10,850,8500
227,2026-08-11,56,1,107,BATTERY NS 40,2,4500,9000
228,2026-08-11,136,1,99,ZIP 1 MAGNET COIL RING CDI 70,504,635,320040
228,2026-08-11,136,2,98,ZIP 1 MAGNET COIL RING HERO,96,615,59040
229,2026-08-11,131,1,119,FRONT SHOCK JH.90 RECO STAR,96,2800,268800
230,2026-08-13,13,1,100,ZIP 1 BRAKE SHOE FMC,1020,182,185640
231,2026-08-13,143,1,123,ONLY FRY WHEEL MAGNET ZIP 1,300,1115,334500
232,2026-08-19,358,1,161,"METER LED SHINE""UNIQUE""ZIP1",150,510,76500
232,2026-08-19,358,2,162,"METER LED SHINE""HONDA""ZIP1",100,510,51000
232,2026-08-19,358,3,164,"METER LED SHINE""SUPER POWER""ZIP1",50,510,25500
232,2026-08-19,358,4,163,"METER LED SHINE""SUPER STAR""ZIP1",50,510,25500
232,2026-08-19,358,5,171,"METER LED SHINE""HI SPEED"" ZIP1",100,510,51000
232,2026-08-19,358,6,157,METER CASE LED SHINE UNIQUE ZIP1,150,152,22800
232,2026-08-19,358,7,158,METER CASE LED SHINE SUPER POWER ZIP1,150,152,22800
232,2026-08-19,358,8,160,METER CASE LED SHINE HONDA ZIP1,100,152,15200
232,2026-08-19,358,9,159,METER CASE LED SHINE SUPER STAR ZIP1,100,152,15200
233,2026-08-19,36,1,143,CARBURETOR PZ22 ZIP 1,2,1940,3880
233,2026-08-19,36,2,100,ZIP 1 BRAKE SHOE FMC,1,275,275
233,2026-08-19,36,3,95,ZIP 1 PUSH LOCK,1,523,523
233,2026-08-19,36,4,99,ZIP 1 MAGNET COIL RING CDI 70,2,1067,2134
233,2026-08-19,36,5,117,REAR SHOCK GENUINE TYPE BLK-ZIP 1,1,2425,2425
233,2026-08-19,36,6,121,REAR SHOCK JH90 BLK RECO STAR,1,2328,2328
234,2026-08-21,335,,111,FRONT SHOCK  JH90 ZIP 1,2,4600,9200
234,2026-08-21,335,,95,ZIP 1 PUSH LOCK,5,530,2650
235,2026-08-21,330,,95,ZIP 1 PUSH LOCK,5,520,2600
236,2026-08-22,3,1,46,ZIP 1 CHAIN KIT GOLD 38-15 CD-70,340,950,323000
237,2026-08-24,364,1,57,ZIP 1 CHAIN KIT Gold 41-14 CD-70,1,1450,1450
238,2026-08-25,13,1,100,ZIP 1 BRAKE SHOE FMC,2280,180,410400
239,2026-08-27,170,1,111,FRONT SHOCK  JH90 ZIP 1,1,4500,4500
240,2026-08-27,141,1,99,ZIP 1 MAGNET COIL RING CDI 70,2,1000,2000
241,2026-08-29,151,1,104,CYLINDER KIT 78CM ZIP 1,300,1530,459000
242,2026-08-29,163,1,121,REAR SHOCK JH90 BLK RECO STAR,108,1800,194400
242,2026-08-29,163,2,142,REAR SHOCK JH90 RED RECO STAR,12,1800,21600
243,2026-08-29,3,1,47,ZIP 1 CHAIN KIT RED 38-15 CD-70,100,890,89000
243,2026-08-29,3,2,57,ZIP 1 CHAIN KIT Gold 41-14 CD-70,200,985,197000
244,2026-08-29,359,1,165,"PISTON KIT SOHRAB""STD""ZIP1",199,380,75620
244,2026-08-29,359,2,166,"PISTON KIT SOHRAB""50""ZIP1",396,380,150480
244,2026-08-29,359,3,168,"PISTON KIT SOHRAB""150"" ZIP1",250,380,95000
245,2026-08-31,359,1,169,"PISTON KIT SOHRAB""100"" ZIP1",99,380,37620
245,2026-08-31,359,2,172,"PISTON KIT GN5""100"" ZIP 1",129,390,50310
246,2026-09-01,104,,148,FRONT SHOCK ROD CDI70 ZIP 1,1,1250,1250
247,2026-09-01,25,,48,ZIP 1 CHAIN KIT RED 41-14 CD-70,2,1300,2600
247,2026-09-01,25,,46,ZIP 1 CHAIN KIT GOLD 38-15 CD-70,1,1300,1300
247,2026-09-01,25,,155,SPOKE 2X50X17 ZIP 1,174,287.5,50025
247,2026-09-01,25,,64,Clutch presur plate set zip 1,1,245,245
247,2026-09-01,25,,99,ZIP 1 MAGNET COIL RING CDI 70,1,900,900
247,2026-09-01,25,,111,FRONT SHOCK  JH90 ZIP 1,1,4100,4100
247,2026-09-01,25,,114,REAR SHOCK JH90 BLK-ZIP 1,1,2700,2700
248,2026-09-01,161,,46,ZIP 1 CHAIN KIT GOLD 38-15 CD-70,6,1430,8580
248,2026-09-01,161,,96,ZIP 1HEAD COMPLETE EURO,2,4800,9600
249,2026-09-01,315,,130,WHEEL RIM FRONT,1,835,835
250,2026-09-01,149,,143,CARBURETOR PZ22 ZIP 1,2,1900,3800
250,2026-09-01,149,,99,ZIP 1 MAGNET COIL RING CDI 70,1,1000,1000
251,2026-09-01,345,,127,"CHAIN COVER""5MM"" ZIP 1",1,550,550
252,2026-09-01,233,,126,"CARBURETOR PZ 16""ZIP 1""",2,2000,4000
252,2026-09-01,233,,99,ZIP 1 MAGNET COIL RING CDI 70,7,1100,7700
252,2026-09-01,233,,143,CARBURETOR PZ22 ZIP 1,2,2000,4000
253,2026-09-01,279,,143,CARBURETOR PZ22 ZIP 1,1,2050,2050
253,2026-09-01,279,,94, SPARK PLUG C7HSA H.D.R,1,75,75
